precision,recall,f1-score,accuracy,auc,features,training time (s)
0.6129032258064516,0.836,0.7072758037225043,0.654,0.6539999999999999,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 16, 64, 1]",524.0450022220612
0.5949820788530465,0.664,0.6275992438563327,0.606,0.6060000000000001,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [32, 32, 128, 1]",524.0450022220612
0.65625,0.42,0.5121951219512195,0.6,0.6,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [8, 128, 1]",524.0450022220612
0.5547619047619048,0.932,0.6955223880597015,0.592,0.5920000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 8, 128, 1]",524.0450022220612
0.5507246376811594,0.912,0.6867469879518072,0.584,0.5840000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [32, 32, 128, 1]",524.0450022220612
0.6129032258064516,0.456,0.5229357798165137,0.584,0.584,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [32, 128, 1]",524.0450022220612
0.5587392550143266,0.78,0.6510851419031719,0.582,0.5820000000000001,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [16, 32, 32, 1]",524.0450022220612
0.5449871465295629,0.848,0.6635367762128325,0.57,0.57,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 128, 128, 1]",524.0450022220612
0.6036585365853658,0.396,0.47826086956521735,0.568,0.5680000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 16, 128, 1]",524.0450022220612
0.5408163265306123,0.848,0.6604361370716512,0.564,0.5640000000000001,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [128, 128, 1]",524.0450022220612
0.5540540540540541,0.656,0.6007326007326007,0.564,0.5640000000000001,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 4, 4, 1]",524.0450022220612
0.5454545454545454,0.696,0.6115992970123023,0.558,0.5579999999999999,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [4, 4, 16, 1]",524.0450022220612
0.5446153846153846,0.708,0.6156521739130435,0.558,0.5579999999999999,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 8, 64, 1]",524.0450022220612
0.6166666666666667,0.296,0.39999999999999997,0.556,0.5559999999999999,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [4, 16, 64, 1]",524.0450022220612
0.5391304347826087,0.744,0.6252100840336134,0.554,0.554,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 16, 64, 1]",524.0450022220612
0.530751708428246,0.932,0.6763425253991291,0.554,0.554,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 8, 8, 1]",524.0450022220612
0.5362318840579711,0.74,0.6218487394957984,0.55,0.55,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [32, 1]",524.0450022220612
0.5292682926829269,0.868,0.6575757575757576,0.548,0.548,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [16, 16, 32, 1]",524.0450022220612
0.5256410256410257,0.984,0.6852367688022285,0.548,0.548,"MLP with solver sgd,                     activation identity in hidden layers and                     architecture [4, 8, 32, 1]",524.0450022220612
0.5384615384615384,0.644,0.5865209471766849,0.546,0.546,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [32, 64, 128, 1]",524.0450022220612
0.5337423312883436,0.696,0.6041666666666666,0.544,0.544,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 8, 32, 1]",524.0450022220612
0.5359477124183006,0.656,0.5899280575539568,0.544,0.544,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 1]",524.0450022220612
0.5232815964523282,0.944,0.6733238231098431,0.542,0.542,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 8, 16, 1]",524.0450022220612
0.5245901639344263,0.896,0.6617429837518464,0.542,0.542,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [64, 64, 64, 1]",524.0450022220612
0.65625,0.168,0.267515923566879,0.54,0.54,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [32, 64, 128, 1]",524.0450022220612
0.5235732009925558,0.844,0.6462480857580398,0.538,0.538,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [32, 64, 64, 1]",524.0450022220612
0.5241730279898219,0.824,0.640746500777605,0.538,0.538,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 1]",524.0450022220612
0.5244215938303342,0.816,0.6384976525821595,0.538,0.538,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [4, 4, 8, 1]",524.0450022220612
0.5271084337349398,0.7,0.6013745704467354,0.536,0.536,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 8, 8, 1]",524.0450022220612
0.5202863961813843,0.872,0.6517189835575486,0.534,0.534,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [16, 64, 1]",524.0450022220612
0.5264797507788161,0.676,0.5919439579684762,0.534,0.534,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 32, 1]",524.0450022220612
0.5201900237529691,0.876,0.6527570789865871,0.534,0.534,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 32, 128, 1]",524.0450022220612
0.5249266862170088,0.716,0.6057529610829103,0.534,0.534,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 128, 1]",524.0450022220612
0.5228571428571429,0.732,0.6100000000000001,0.532,0.532,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [16, 64, 64, 1]",524.0450022220612
0.5487804878048781,0.36,0.43478260869565216,0.532,0.532,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [32, 32, 32, 1]",524.0450022220612
0.5465116279069767,0.376,0.44549763033175355,0.532,0.532,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [64, 64, 128, 1]",524.0450022220612
0.5181598062953995,0.856,0.645550527903469,0.53,0.53,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [16, 64, 128, 1]",524.0450022220612
0.538860103626943,0.416,0.4695259593679458,0.53,0.53,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [4, 4, 1]",524.0450022220612
0.5362318840579711,0.444,0.4857768052516412,0.53,0.53,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 8, 1]",524.0450022220612
0.5157232704402516,0.984,0.6767537826685008,0.53,0.53,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 16, 32, 1]",524.0450022220612
0.5178571428571429,0.812,0.632398753894081,0.528,0.528,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [128, 1]",524.0450022220612
0.5173501577287066,0.656,0.5784832451499118,0.522,0.522,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [16, 32, 1]",524.0450022220612
0.5130890052356021,0.784,0.620253164556962,0.52,0.52,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 4, 64, 1]",524.0450022220612
0.5121359223300971,0.844,0.6374622356495468,0.52,0.52,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [64, 64, 64, 1]",524.0450022220612
0.5116822429906542,0.876,0.6460176991150443,0.52,0.52,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [64, 128, 1]",524.0450022220612
0.5215311004784688,0.436,0.4749455337690632,0.518,0.518,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [4, 128, 1]",524.0450022220612
0.512,0.768,0.6144000000000001,0.518,0.518,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [8, 32, 64, 1]",524.0450022220612
0.5196078431372549,0.424,0.46696035242290745,0.516,0.516,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [128, 128, 1]",524.0450022220612
0.5106951871657754,0.764,0.6121794871794872,0.516,0.516,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [128, 128, 128, 1]",524.0450022220612
0.5083532219570406,0.852,0.6367713004484304,0.514,0.514,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [32, 1]",524.0450022220612
