precision,recall,f1-score,accuracy,auc,features,training time (s)
0.5974025974025974,0.92,0.7244094488188978,0.65,0.65,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 16, 128, 1]",520.6410281658173
0.6096096096096096,0.812,0.6963979416809606,0.646,0.646,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 32, 32, 1]",520.6410281658173
0.6804733727810651,0.46,0.548926014319809,0.622,0.622,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [128, 1]",520.6410281658173
0.5686813186813187,0.828,0.6742671009771986,0.6,0.6,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 16, 64, 1]",520.6410281658173
0.56282722513089,0.86,0.680379746835443,0.596,0.596,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 128, 128, 1]",520.6410281658173
0.5974025974025974,0.552,0.5738045738045738,0.59,0.5900000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 8, 128, 1]",520.6410281658173
0.5824175824175825,0.636,0.6080305927342257,0.59,0.5900000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 32, 128, 1]",520.6410281658173
0.5756457564575646,0.624,0.598848368522073,0.582,0.5820000000000001,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [8, 8, 1]",520.6410281658173
0.5735294117647058,0.624,0.5977011494252874,0.58,0.5800000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 64, 128, 1]",520.6410281658173
0.5465116279069767,0.94,0.6911764705882352,0.58,0.58,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 4, 64, 1]",520.6410281658173
0.550251256281407,0.876,0.6759259259259259,0.58,0.58,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [4, 4, 4, 1]",520.6410281658173
0.5645161290322581,0.7,0.625,0.58,0.58,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [16, 32, 64, 1]",520.6410281658173
0.564625850340136,0.664,0.6102941176470588,0.576,0.5760000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 64, 64, 1]",520.6410281658173
0.5670498084291188,0.592,0.5792563600782779,0.57,0.5700000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 32, 64, 1]",520.6410281658173
0.5589225589225589,0.664,0.6069469835466179,0.57,0.5700000000000001,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [32, 128, 128, 1]",520.6410281658173
0.5885714285714285,0.412,0.48470588235294115,0.562,0.5619999999999999,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [16, 32, 1]",520.6410281658173
0.5307855626326964,1.0,0.6934812760055479,0.558,0.558,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [4, 4, 8, 1]",520.6410281658173
0.5451612903225806,0.676,0.6035714285714286,0.556,0.556,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [8, 16, 16, 1]",520.6410281658173
0.5391061452513967,0.772,0.6348684210526315,0.556,0.556,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [8, 128, 128, 1]",520.6410281658173
