precision,recall,f1-score,accuracy,auc,features,training time (s)
0.6724137931034483,0.78,0.7222222222222223,0.7,0.7,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 16, 32, 1]",590.1197726726532
0.5975609756097561,0.98,0.7424242424242423,0.66,0.66,"MLP with solver sgd,                     activation tanh in hidden layers and                     architecture [8, 16, 32, 1]",590.1197726726532
0.6025641025641025,0.94,0.7343749999999999,0.66,0.6599999999999999,"MLP with solver sgd,                     activation identity in hidden layers and                     architecture [64, 64, 64, 1]",590.1197726726532
0.6025641025641025,0.94,0.7343749999999999,0.66,0.6599999999999999,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [8, 32, 1]",590.1197726726532
0.6025641025641025,0.94,0.7343749999999999,0.66,0.6599999999999999,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [8, 32, 64, 1]",590.1197726726532
0.5949367088607594,0.94,0.7286821705426355,0.65,0.6499999999999999,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [32, 32, 32, 1]",590.1197726726532
0.5949367088607594,0.94,0.7286821705426355,0.65,0.6499999999999999,"MLP with solver adam,                     activation tanh in hidden layers and                     architecture [4, 8, 1]",590.1197726726532
0.5833333333333334,0.98,0.7313432835820894,0.64,0.64,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [16, 32, 128, 1]",590.1197726726532
0.5875,0.94,0.7230769230769232,0.64,0.64,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 4, 1]",590.1197726726532
0.5833333333333334,0.98,0.7313432835820894,0.64,0.64,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 64, 1]",590.1197726726532
0.6206896551724138,0.72,0.6666666666666666,0.64,0.64,"MLP with solver adam,                     activation tanh in hidden layers and                     architecture [16, 128, 128, 1]",590.1197726726532
0.5921052631578947,0.9,0.7142857142857143,0.64,0.64,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 16, 1]",590.1197726726532
0.5764705882352941,0.98,0.7259259259259259,0.63,0.63,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 32, 1]",590.1197726726532
0.589041095890411,0.86,0.6991869918699187,0.63,0.63,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [16, 32, 1]",590.1197726726532
0.5802469135802469,0.94,0.717557251908397,0.63,0.63,"MLP with solver adam,                     activation identity in hidden layers and                     architecture [128, 1]",590.1197726726532
0.589041095890411,0.86,0.6991869918699187,0.63,0.63,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [32, 32, 1]",590.1197726726532
0.589041095890411,0.86,0.6991869918699187,0.63,0.63,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [16, 64, 1]",590.1197726726532
0.6274509803921569,0.64,0.6336633663366336,0.63,0.63,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [8, 32, 128, 1]",590.1197726726532
0.5802469135802469,0.94,0.717557251908397,0.63,0.63,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [16, 32, 1]",590.1197726726532
0.5802469135802469,0.94,0.717557251908397,0.63,0.63,"MLP with solver sgd,                     activation identity in hidden layers and                     architecture [8, 32, 64, 1]",590.1197726726532
0.5802469135802469,0.94,0.717557251908397,0.63,0.63,"MLP with solver adam,                     activation tanh in hidden layers and                     architecture [8, 128, 1]",590.1197726726532
0.6140350877192983,0.7,0.6542056074766356,0.63,0.63,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 4, 32, 1]",590.1197726726532
0.6031746031746031,0.76,0.672566371681416,0.63,0.63,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [4, 8, 32, 1]",590.1197726726532
0.5915492957746479,0.84,0.6942148760330579,0.63,0.63,"MLP with solver adam,                     activation tanh in hidden layers and                     architecture [16, 32, 64, 1]",590.1197726726532
0.5802469135802469,0.94,0.717557251908397,0.63,0.63,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [64, 64, 1]",590.1197726726532
0.573170731707317,0.94,0.712121212121212,0.62,0.62,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 128, 128, 1]",590.1197726726532
0.5769230769230769,0.9,0.7031249999999999,0.62,0.62,"MLP with solver adam,                     activation identity in hidden layers and                     architecture [8, 16, 64, 1]",590.1197726726532
0.65,0.52,0.5777777777777778,0.62,0.62,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [64, 64, 64, 1]",590.1197726726532
0.5882352941176471,0.8,0.6779661016949153,0.62,0.62,"MLP with solver sgd,                     activation tanh in hidden layers and                     architecture [64, 64, 128, 1]",590.1197726726532
0.5789473684210527,0.88,0.6984126984126985,0.62,0.62,"MLP with solver adam,                     activation identity in hidden layers and                     architecture [4, 16, 16, 1]",590.1197726726532
0.5769230769230769,0.9,0.7031249999999999,0.62,0.62,"MLP with solver adam,                     activation identity in hidden layers and                     architecture [8, 8, 1]",590.1197726726532
0.581081081081081,0.86,0.6935483870967741,0.62,0.62,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [32, 64, 1]",590.1197726726532
