encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1",0.71,0.725,0.71375,0.6693548387096774,0.83,0.7410714285714286,0.71,0.9316644668579102
"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1",0.685,0.775,0.7075,0.6728971962616822,0.72,0.6956521739130435,0.685,1.034682273864746
"0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0",0.705,0.71,0.70625,0.6722689075630253,0.8,0.730593607305936,0.7050000000000001,0.9053440093994141
"0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1",0.695,0.735,0.705,0.7052631578947368,0.67,0.6871794871794872,0.6950000000000001,0.9663183689117432
"0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1",0.685,0.76,0.7037500000000001,0.6989247311827957,0.65,0.6735751295336787,0.685,0.9948341846466064
"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1",0.695,0.73,0.70375,0.693069306930693,0.7,0.6965174129353234,0.695,1.0112245082855225
"1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1",0.7,0.715,0.7037499999999999,0.7325581395348837,0.63,0.6774193548387096,0.7,0.9757485389709473
"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0",0.7,0.71,0.7024999999999999,0.6694915254237288,0.79,0.7247706422018348,0.7,1.0191469192504883
"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0",0.7,0.71,0.7024999999999999,0.6694915254237288,0.79,0.7247706422018348,0.7,0.963824987411499
"0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0",0.7,0.71,0.7024999999999999,0.6694915254237288,0.79,0.7247706422018348,0.7,0.9354853630065918
"0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0",0.7,0.71,0.7024999999999999,0.6694915254237288,0.79,0.7247706422018348,0.7,0.9897768497467041
"0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1",0.69,0.735,0.7012499999999999,0.6666666666666666,0.76,0.7102803738317757,0.69,1.0270335674285889
"1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1",0.7,0.705,0.7012499999999999,0.6785714285714286,0.76,0.7169811320754716,0.7,0.9849052429199219
"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1",0.695,0.715,0.7,0.6666666666666666,0.78,0.7188940092165899,0.6950000000000001,1.0114738941192627
"0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1",0.675,0.77,0.6987500000000001,0.6605504587155964,0.72,0.6889952153110048,0.675,1.0135469436645508
"1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1",0.67,0.785,0.69875,0.6770833333333334,0.65,0.6632653061224489,0.6699999999999999,0.991990327835083
"0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0",0.68,0.755,0.69875,0.6956521739130435,0.64,0.6666666666666666,0.6799999999999999,0.965155839920044
"0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1",0.69,0.725,0.69875,0.7209302325581395,0.62,0.6666666666666666,0.69,0.9468882083892822
"1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0",0.68,0.755,0.69875,0.6875,0.66,0.673469387755102,0.6799999999999999,0.9685714244842529
"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1",0.68,0.75,0.6975,0.6875,0.66,0.673469387755102,0.6799999999999999,1.0246715545654297
"1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0",0.7,0.69,0.6974999999999999,0.6639344262295082,0.81,0.7297297297297297,0.7,1.0310180187225342
"0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1",0.68,0.745,0.69625,0.6666666666666666,0.72,0.6923076923076923,0.6799999999999999,0.9997365474700928
"0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0",0.675,0.76,0.69625,0.6804123711340206,0.66,0.6700507614213198,0.675,0.9318397045135498
"0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1",0.68,0.745,0.69625,0.6914893617021277,0.65,0.6701030927835051,0.6799999999999999,0.9967632293701172
"0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0",0.675,0.76,0.69625,0.6804123711340206,0.66,0.6700507614213198,0.675,0.9608752727508545
"1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1",0.695,0.7,0.69625,0.6756756756756757,0.75,0.7109004739336493,0.6950000000000001,1.0446538925170898
"0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1",0.67,0.775,0.69625,0.6666666666666666,0.68,0.6732673267326733,0.67,0.9977715015411377
"1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0",0.685,0.725,0.6950000000000001,0.6581196581196581,0.77,0.7096774193548387,0.685,0.9564590454101562
"1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1",0.685,0.725,0.6950000000000001,0.7341772151898734,0.58,0.6480446927374302,0.685,0.9998068809509277
"0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1",0.68,0.74,0.6950000000000001,0.7093023255813954,0.61,0.6559139784946236,0.6799999999999999,0.9589338302612305
"1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1",0.67,0.77,0.695,0.6931818181818182,0.61,0.648936170212766,0.6699999999999999,0.9921493530273438
"1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1",0.685,0.72,0.6937500000000001,0.6728971962616822,0.72,0.6956521739130435,0.685,0.9977164268493652
"1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0",0.685,0.72,0.6937500000000001,0.7176470588235294,0.61,0.6594594594594595,0.685,1.012589454650879
"0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1",0.675,0.75,0.6937500000000001,0.6635514018691588,0.71,0.6859903381642513,0.675,0.9572353363037109
