encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1",0.69,0.785,0.71375,0.6666666666666666,0.76,0.7102803738317757,0.69,0.9997222423553467
"0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0",0.675,0.82,0.7112500000000002,0.6666666666666666,0.7,0.6829268292682927,0.675,1.034472942352295
"0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1",0.66,0.785,0.69125,0.6632653061224489,0.65,0.6565656565656566,0.66,1.0035738945007324
"0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1",0.64,0.83,0.6875,0.6458333333333334,0.62,0.6326530612244898,0.64,1.0842671394348145
"0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1",0.65,0.795,0.6862499999999999,0.6339285714285714,0.71,0.6698113207547169,0.6499999999999999,0.9793930053710938
"0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1",0.645,0.8,0.6837500000000001,0.6330275229357798,0.69,0.6602870813397129,0.645,1.0554578304290771
"0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1",0.635,0.825,0.6825,0.608,0.76,0.6755555555555556,0.635,0.9700753688812256
"0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1",0.64,0.81,0.6824999999999999,0.6627906976744186,0.57,0.6129032258064516,0.6399999999999999,1.12638258934021
"0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1",0.65,0.765,0.67875,0.631578947368421,0.72,0.6728971962616822,0.6499999999999999,1.0002377033233643
"0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9648604393005371
"0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9526529312133789
"0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9823596477508545
"0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,1.0650908946990967
"0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,1.034233808517456
"0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.966313362121582
"0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9746789932250977
"0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9940738677978516
"0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,1.014042615890503
"0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9576046466827393
"0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,1.0160696506500244
"0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.961047887802124
"0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,1.0214486122131348
"0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9943015575408936
"0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9127922058105469
"0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1",0.645,0.78,0.67875,0.6330275229357798,0.69,0.6602870813397129,0.645,0.9537038803100586
"0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9539628028869629
"0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0",0.655,0.75,0.67875,0.6260162601626016,0.77,0.6905829596412556,0.655,0.9672119617462158
"0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0",0.645,0.775,0.6775,0.6526315789473685,0.62,0.6358974358974359,0.645,0.9639625549316406
"0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0",0.645,0.775,0.6775,0.6526315789473685,0.62,0.6358974358974359,0.645,0.9329550266265869
"0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1",0.64,0.79,0.6775,0.6166666666666667,0.74,0.6727272727272727,0.64,1.0035710334777832
"0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1",0.645,0.775,0.6775,0.6986301369863014,0.51,0.5895953757225434,0.645,0.9700567722320557
"0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0",0.645,0.775,0.6775,0.6526315789473685,0.62,0.6358974358974359,0.645,0.9691317081451416
"1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1",0.625,0.835,0.6775,0.6237623762376238,0.63,0.6268656716417911,0.625,1.0669209957122803
"0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0",0.645,0.775,0.6775,0.6526315789473685,0.62,0.6358974358974359,0.645,0.9590845108032227
"0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0",0.645,0.775,0.6775,0.6526315789473685,0.62,0.6358974358974359,0.645,0.9462795257568359
"0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1",0.63,0.82,0.6775,0.6413043478260869,0.59,0.6145833333333334,0.63,1.057288646697998
"0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0",0.64,0.79,0.6775,0.6428571428571429,0.63,0.6363636363636364,0.64,1.036613941192627
"0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0",0.645,0.775,0.6775,0.6526315789473685,0.62,0.6358974358974359,0.645,0.9002385139465332
"0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0",0.645,0.775,0.6775,0.6526315789473685,0.62,0.6358974358974359,0.645,0.9628105163574219
