encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1",0.61,0.75,0.645,0.5887096774193549,0.73,0.6517857142857143,0.61,0.6169254779815674
"0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1",0.585,0.76,0.6287499999999999,0.5555555555555556,0.85,0.6719367588932806,0.585,0.6059069633483887
"1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1",0.585,0.73,0.62125,0.5521472392638037,0.9,0.6844106463878327,0.585,0.6263113021850586
"1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0",0.57,0.76,0.6174999999999999,0.5454545454545454,0.84,0.6614173228346457,0.57,0.6106431484222412
"0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1",0.575,0.73,0.61375,0.5609756097560976,0.69,0.6188340807174888,0.575,0.578742265701294
"0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1",0.565,0.76,0.61375,0.5866666666666667,0.44,0.5028571428571429,0.565,0.5968024730682373
"1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1",0.575,0.72,0.61125,0.6056338028169014,0.43,0.5029239766081871,0.575,0.5968484878540039
"1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1",0.57,0.73,0.6100000000000001,0.5648148148148148,0.61,0.5865384615384616,0.5700000000000001,0.6129360198974609
"0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1",0.58,0.7,0.6099999999999999,0.5540540540540541,0.82,0.6612903225806451,0.58,0.5983645915985107
"0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0",0.56,0.74,0.605,0.5882352941176471,0.4,0.47619047619047616,0.56,0.5940585136413574
"0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0",0.56,0.74,0.605,0.5882352941176471,0.4,0.47619047619047616,0.56,0.6250686645507812
"0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0",0.56,0.74,0.605,0.5882352941176471,0.4,0.47619047619047616,0.56,0.5558865070343018
"0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0",0.56,0.74,0.605,0.5882352941176471,0.4,0.47619047619047616,0.56,0.5783145427703857
"0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1",0.555,0.75,0.60375,0.5617977528089888,0.5,0.5291005291005291,0.5549999999999999,0.6177511215209961
"0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1",0.575,0.69,0.60375,0.5688073394495413,0.62,0.5933014354066986,0.575,0.6097695827484131
"0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0",0.59,0.64,0.6025,0.5592105263157895,0.85,0.6746031746031746,0.59,0.6456692218780518
"0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0",0.57,0.7,0.6025,0.64,0.32,0.4266666666666667,0.57,0.6213109493255615
"0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0",0.58,0.67,0.6024999999999999,0.5655737704918032,0.69,0.6216216216216216,0.58,0.6017694473266602
"1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1",0.55,0.75,0.6000000000000001,0.6,0.3,0.4,0.55,0.6597311496734619
"0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1",0.565,0.7,0.5987499999999999,0.5684210526315789,0.54,0.5538461538461539,0.565,0.6118361949920654
"0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1",0.56,0.71,0.5975,0.5508474576271186,0.65,0.5963302752293578,0.56,0.6237814426422119
"1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0",0.555,0.72,0.59625,0.5419847328244275,0.71,0.6147186147186147,0.5549999999999999,0.5833165645599365
"0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0",0.58,0.64,0.5950000000000001,0.6481481481481481,0.35,0.45454545454545453,0.5800000000000001,0.5634737014770508
"0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0",0.55,0.73,0.595,0.5462962962962963,0.59,0.5673076923076923,0.55,0.6013379096984863
"1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1",0.55,0.73,0.595,0.6190476190476191,0.26,0.36619718309859156,0.55,0.616999626159668
