fitness,encoding
0.6725000000000001,"0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1"
0.6725000000000001,"0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1"
0.6799999999999999,"1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0"
0.6799999999999999,"1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0"
0.6799999999999999,"1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0"
0.6799999999999999,"1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0"
0.6924999999999999,"0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1"
0.6924999999999999,"0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1"
0.6924999999999999,"0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1"
0.6924999999999999,"0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1"
0.6925000000000001,"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1"
0.6925000000000001,"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1"
0.6925000000000001,"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1"
0.7024999999999999,"1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1"
0.7024999999999999,"1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1"
0.7024999999999999,"1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1"
0.7024999999999999,"1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1"
0.7024999999999999,"1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1"
0.7024999999999999,"1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7175,"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
0.7287500000000001,"1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0"
