encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1",0.7,0.85,0.7374999999999999,0.6886792452830188,0.73,0.7087378640776699,0.7,0.672757625579834
"0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1",0.715,0.78,0.7312500000000002,0.6869565217391305,0.79,0.7348837209302326,0.7150000000000001,0.6299805641174316
"0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1",0.705,0.78,0.7237500000000001,0.6413793103448275,0.93,0.7591836734693878,0.7050000000000001,0.6785244941711426
"1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1",0.69,0.82,0.7224999999999999,0.6637931034482759,0.77,0.7129629629629629,0.69,0.6224102973937988
"1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0",0.69,0.8,0.7175,0.6301369863013698,0.92,0.7479674796747967,0.6900000000000001,0.6352739334106445
"1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1",0.69,0.8,0.7175,0.6301369863013698,0.92,0.7479674796747967,0.6900000000000001,0.651176929473877
"0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1",0.695,0.78,0.71625,0.6326530612244898,0.93,0.7530364372469636,0.6950000000000001,0.652179479598999
"0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0",0.695,0.77,0.71375,0.6638655462184874,0.79,0.7214611872146118,0.6950000000000001,0.5973639488220215
"0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1",0.68,0.81,0.7125,0.6139240506329114,0.97,0.751937984496124,0.6799999999999999,0.6389377117156982
"0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0",0.7,0.75,0.7124999999999999,0.6515151515151515,0.86,0.7413793103448276,0.7,0.6390364170074463
"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0",0.7,0.75,0.7124999999999999,0.6515151515151515,0.86,0.7413793103448276,0.7,0.6189389228820801
"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0",0.7,0.75,0.7124999999999999,0.6515151515151515,0.86,0.7413793103448276,0.7,0.6183133125305176
"0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0",0.7,0.75,0.7124999999999999,0.6515151515151515,0.86,0.7413793103448276,0.7,0.6409299373626709
"1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0",0.685,0.79,0.71125,0.6581196581196581,0.77,0.7096774193548387,0.685,0.668616533279419
"0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1",0.7,0.74,0.71,0.636986301369863,0.93,0.7560975609756098,0.7,0.6097242832183838
"0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0",0.68,0.79,0.7075,0.6343283582089553,0.85,0.7264957264957265,0.6799999999999999,0.651160717010498
"0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0",0.68,0.79,0.7075,0.6343283582089553,0.85,0.7264957264957265,0.6799999999999999,0.6005468368530273
"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0",0.685,0.77,0.70625,0.6554621848739496,0.78,0.7123287671232876,0.685,0.6548726558685303
"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0",0.685,0.77,0.70625,0.6554621848739496,0.78,0.7123287671232876,0.685,0.616030216217041
"0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1",0.675,0.8,0.70625,0.6296296296296297,0.85,0.723404255319149,0.675,0.6413588523864746
"0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1",0.675,0.8,0.70625,0.610062893081761,0.97,0.749034749034749,0.675,0.6061966419219971
"0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0",0.685,0.77,0.70625,0.6554621848739496,0.78,0.7123287671232876,0.685,0.6245396137237549
"0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0",0.685,0.77,0.70625,0.6554621848739496,0.78,0.7123287671232876,0.685,0.6646337509155273
"0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0",0.685,0.77,0.70625,0.6554621848739496,0.78,0.7123287671232876,0.685,0.6242356300354004
"0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0",0.685,0.77,0.70625,0.6554621848739496,0.78,0.7123287671232876,0.685,0.6103150844573975
"0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1",0.67,0.81,0.705,0.6770833333333334,0.65,0.6632653061224489,0.6699999999999999,0.6287920475006104
"1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0",0.67,0.81,0.705,0.6517857142857143,0.73,0.6886792452830188,0.6699999999999999,0.6176462173461914
