encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1",0.8666666666666667,0.8714285714285714,0.8645057899090157,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.5412929058074951
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1",0.8666666666666667,0.7714285714285715,0.8428970223325063,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.5888955593109131
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1",0.8,0.8571428571428571,0.8100444582299421,0.75,0.75,0.75,0.7916666666666667,0.5640444755554199
"0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1",0.8,0.8571428571428571,0.8100444582299421,0.75,0.75,0.75,0.7916666666666667,0.5570013523101807
"0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1",0.7333333333333333,0.9142857142857143,0.7899607113316791,0.625,0.8333333333333334,0.7142857142857143,0.75,0.5311229228973389
"0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1",0.7666666666666667,0.8571428571428571,0.7787944582299421,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.75,0.5495636463165283
"0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1",0.7,0.8714285714285714,0.7490953267162945,0.6,0.75,0.6666666666666666,0.7083333333333333,0.5742814540863037
"0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0",0.7333333333333333,0.8285714285714286,0.7474152191894127,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.5358154773712158
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0",0.7333333333333333,0.8285714285714286,0.7474152191894127,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.5424017906188965
"0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0",0.7,0.8571428571428571,0.7467173283705542,0.6,0.75,0.6666666666666666,0.7083333333333333,0.51877760887146
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0",0.7,0.8571428571428571,0.7467173283705542,0.6,0.75,0.6666666666666666,0.7083333333333333,0.5026845932006836
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0",0.7,0.8571428571428571,0.7467173283705542,0.6,0.75,0.6666666666666666,0.7083333333333333,0.5400593280792236
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0",0.7,0.8571428571428571,0.7467173283705542,0.6,0.75,0.6666666666666666,0.7083333333333333,0.5116007328033447
"0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0",0.7,0.8571428571428571,0.7467173283705542,0.6,0.75,0.6666666666666666,0.7083333333333333,0.5283339023590088
"0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0",0.7,0.8571428571428571,0.7467173283705542,0.6,0.75,0.6666666666666666,0.7083333333333333,0.5128326416015625
