encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"14,8,1,17,7,8,2,12,10,0,0,2,1,9,13",0.7,0.7,0.7006696428571428,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7008928571428572,0.38462400436401367
"15,19,1,1,14,12,14,8,1,17,7,8,8,12,10",0.7,0.6,0.6689732142857143,0.7272727272727273,0.5714285714285714,0.64,0.6919642857142857,0.4085097312927246
"15,5,4,11,17,5,15,4,1,16,5,14,9,21,9",0.6666666666666666,0.6,0.6522321428571429,0.625,0.7142857142857143,0.6666666666666666,0.6696428571428572,0.29057955741882324
"14,8,1,17,7,8,8,12,10,0,0,2,1,9,13",0.7,0.5,0.6506696428571429,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7008928571428572,0.36948108673095703
"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11",0.7,0.5,0.6473214285714286,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6964285714285714,0.3983938694000244
"4,11,4,3,6,0,11,1,23,3,3,13,9,16,15",0.7,0.5,0.6439732142857143,0.7272727272727273,0.5714285714285714,0.64,0.6919642857142857,0.2613711357116699
"15,19,1,1,14,12,14,8,1,17,7,8,8,12,9",0.6666666666666666,0.6,0.6421875,0.7,0.5,0.5833333333333334,0.65625,0.4246811866760254
"23,15,14,20,3,4,14,21,17,12,2,0,4,15,6",0.6333333333333333,0.6,0.6388392857142857,0.5652173913043478,0.9285714285714286,0.7027027027027027,0.6517857142857143,0.40377235412597656
"16,9,15,9,19,12,3,9,11,7,16,9,3,16,11",0.6,0.7,0.633705357142857,0.55,0.7857142857142857,0.6470588235294118,0.6116071428571428,0.36771702766418457
"16,9,15,15,19,12,7,9,11,18,16,9,3,16,0",0.6,0.7,0.633705357142857,0.55,0.7857142857142857,0.6470588235294118,0.6116071428571428,0.4003596305847168
"10,5,12,15,0,4,4,13,6,0,2,20,11,5,17",0.6333333333333333,0.6,0.6321428571428571,0.5789473684210527,0.7857142857142857,0.6666666666666666,0.6428571428571428,0.22687292098999023
"15,5,4,19,17,13,15,4,20,12,5,18,9,7,9",0.6,0.8,0.6319196428571427,0.75,0.21428571428571427,0.3333333333333333,0.5758928571428571,0.44631481170654297
"4,13,11,16,5,3,11,11,16,22,9,11,14,18,9",0.6,0.7,0.6303571428571428,0.5555555555555556,0.7142857142857143,0.625,0.6071428571428572,0.32833409309387207
"14,13,15,8,7,20,9,13,7,8,0,16,11,10,13",0.5666666666666667,0.9,0.6301339285714286,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.5401785714285714,0.3288607597351074
"9,2,9,18,5,18,14,8,13,2,2,21,11,15,7",0.6333333333333333,0.6,0.6287946428571429,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.6383928571428572,0.47971248626708984
"16,6,11,12,6,17,16,22,9,15,20,5,4,4,8",0.5666666666666667,0.8,0.6285714285714286,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.5714285714285714,0.2889745235443115
"23,15,14,20,10,4,14,21,17,12,2,0,4,15,6",0.6666666666666666,0.5,0.6272321428571429,0.625,0.7142857142857143,0.6666666666666666,0.6696428571428572,0.4357283115386963
"6,9,22,0,11,7,5,9,7,21,1,14,11,22,15",0.7,0.4,0.6256696428571429,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7008928571428572,0.2676818370819092
"6,9,22,0,11,7,5,9,10,21,1,14,11,22,15",0.7,0.4,0.6256696428571429,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7008928571428572,0.3133358955383301
"16,6,11,19,6,17,15,22,9,12,20,5,4,4,9",0.5666666666666667,0.8,0.621875,0.5384615384615384,0.5,0.5185185185185185,0.5625,0.4064822196960449
"15,12,19,19,10,5,20,16,11,13,9,8,13,21,14",0.5333333333333333,0.8,0.621875,0.5,1.0,0.6666666666666666,0.5625,0.9361894130706787
"15,13,19,19,7,5,20,16,11,13,9,16,11,21,13",0.5333333333333333,0.9,0.6200892857142857,0.5,0.42857142857142855,0.46153846153846156,0.5267857142857143,1.014888048171997
"9,6,16,9,13,15,3,11,16,7,23,5,9,18,11",0.5666666666666667,0.7,0.6169642857142856,0.52,0.9285714285714286,0.6666666666666666,0.5892857142857143,0.3012268543243408
"8,18,13,16,15,17,6,18,2,17,8,2,5,6,9",0.6666666666666666,0.4,0.6122767857142857,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.6830357142857143,0.4210796356201172
