models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,1,2,3,6",0.745,0.83,0.7094017094017094,0.83,0.7649769585253456,0.745
"1,2,3,6,7",0.745,0.805,0.7058823529411765,0.84,0.7671232876712328,0.745
"0,1,2,3,7",0.74,0.825,0.7068965517241379,0.82,0.7592592592592593,0.74
"0,1,5,6,7",0.74,0.83,0.7033898305084746,0.83,0.7614678899082569,0.74
"1,2,6,7,9",0.74,0.82,0.7,0.84,0.7636363636363637,0.74
"0,1,2,3,4",0.735,0.83,0.7043478260869566,0.81,0.7534883720930232,0.7350000000000001
"0,1,2,3,9",0.735,0.815,0.7008547008547008,0.82,0.7557603686635944,0.735
"1,4,5,6,8",0.735,0.81,0.7008547008547008,0.82,0.7557603686635944,0.735
"0,1,2,6,7",0.73,0.835,0.6854838709677419,0.85,0.7589285714285714,0.73
"0,1,6,7,8",0.73,0.825,0.6885245901639344,0.84,0.7567567567567568,0.73
"0,2,4,6,8",0.73,0.82,0.6885245901639344,0.84,0.7567567567567568,0.73
"0,2,6,7,9",0.73,0.805,0.6885245901639344,0.84,0.7567567567567568,0.73
"0,4,5,6,8",0.73,0.805,0.6916666666666667,0.83,0.7545454545454545,0.73
"1,2,3,7,9",0.73,0.795,0.6916666666666667,0.83,0.7545454545454545,0.73
"1,2,6,7,8",0.73,0.815,0.6885245901639344,0.84,0.7567567567567568,0.73
"0,1,2,3,8",0.725,0.82,0.6956521739130435,0.8,0.7441860465116279,0.7250000000000001
"1,2,3,4,6",0.725,0.815,0.6923076923076923,0.81,0.7465437788018433,0.7250000000000001
"1,2,3,6,8",0.725,0.81,0.6956521739130435,0.8,0.7441860465116279,0.7250000000000001
"1,2,3,6,9",0.725,0.82,0.6923076923076923,0.81,0.7465437788018433,0.7250000000000001
"1,2,5,6,9",0.725,0.83,0.6956521739130435,0.8,0.7441860465116279,0.7250000000000001
"1,2,5,8,9",0.725,0.805,0.6923076923076923,0.81,0.7465437788018433,0.7250000000000001
"0,1,2,5,6",0.725,0.85,0.6890756302521008,0.82,0.7488584474885844,0.725
"0,1,2,6,8",0.725,0.835,0.6829268292682927,0.84,0.7533632286995515,0.725
"0,1,2,6,9",0.725,0.835,0.6829268292682927,0.84,0.7533632286995515,0.725
"0,1,3,6,7",0.725,0.825,0.6859504132231405,0.83,0.751131221719457,0.725
"0,1,3,7,9",0.725,0.805,0.6890756302521008,0.82,0.7488584474885844,0.725
"0,1,5,6,8",0.725,0.815,0.6890756302521008,0.82,0.7488584474885844,0.725
