fitness,encoding
0.7037500000000001,"18,13,6,16,12,19,17,11,6,6,2,14,11,10,15"
0.7037500000000001,"18,13,6,16,12,19,17,11,6,6,2,14,11,10,15"
0.7075,"17,4,18,5,4,16,18,17,1,8,5,13,15,0,11"
0.7075,"17,4,18,5,4,16,18,17,1,8,5,13,15,0,11"
0.7075,"17,4,18,5,4,16,18,17,1,8,5,13,15,0,11"
0.71125,"19,14,3,21,10,8,11,3,13,9,14,9,22,8,0"
0.71125,"19,14,3,21,10,8,11,3,13,9,14,9,22,8,0"
0.71125,"19,14,3,21,10,8,11,3,13,9,14,9,22,8,0"
0.7350000000000001,"19,14,0,16,10,19,17,22,6,12,3,20,12,11,20"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.74125,"16,23,15,0,18,15,3,6,17,4,6,17,23,11,19"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.7587499999999999,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
0.78,"19,14,0,16,10,19,17,6,17,12,3,20,12,11,20"
