encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,16,5,22,4,17,17,15,6,12,14,7,19,10,11",0.69,0.955,0.75625,0.7567567567567568,0.56,0.6436781609195402,0.69,1.4164605140686035
"19,16,4,5,8,19,5,14,9,9,2,19,12,15,9",0.715,0.875,0.7550000000000001,0.7362637362637363,0.67,0.7015706806282722,0.7150000000000001,1.7346558570861816
"19,16,5,5,4,19,17,17,6,12,14,7,15,10,9",0.675,0.99,0.7537500000000001,0.6881720430107527,0.64,0.6632124352331606,0.675,2.660796642303467
"0,16,16,22,13,18,16,15,6,16,12,7,11,8,5",0.68,0.95,0.7475,0.6578947368421053,0.75,0.7009345794392523,0.6799999999999999,1.3610382080078125
"19,16,5,16,4,12,17,15,6,12,14,14,19,10,7",0.67,0.98,0.7474999999999999,0.6808510638297872,0.64,0.6597938144329897,0.6699999999999999,1.6965079307556152
"19,16,5,22,6,8,17,15,17,5,18,5,3,10,8",0.675,0.945,0.7425000000000002,0.6842105263157895,0.65,0.6666666666666666,0.675,2.0546441078186035
"19,16,15,5,23,12,13,10,10,2,16,5,0,15,11",0.73,0.765,0.73875,0.73,0.73,0.73,0.73,1.648432731628418
"5,6,16,22,13,18,16,6,17,16,12,13,11,8,5",0.665,0.935,0.7325,0.6460176991150443,0.73,0.6854460093896714,0.665,1.3128597736358643
"0,16,5,22,4,17,17,15,6,12,14,18,19,10,11",0.65,0.98,0.7324999999999999,0.6666666666666666,0.6,0.631578947368421,0.6499999999999999,2.657804489135742
"5,6,16,22,13,18,17,6,6,21,12,13,11,8,5",0.665,0.925,0.73,0.726027397260274,0.53,0.6127167630057804,0.665,1.4598512649536133
"5,6,0,19,15,12,13,17,13,15,20,13,15,9,7",0.695,0.835,0.73,0.693069306930693,0.7,0.6965174129353234,0.695,1.4008872509002686
"19,16,5,4,6,8,17,15,17,5,18,14,3,10,8",0.66,0.93,0.7275,0.625,0.8,0.7017543859649122,0.66,1.9690449237823486
"5,6,16,22,13,18,16,15,6,16,12,13,11,8,5",0.655,0.94,0.7262500000000001,0.6534653465346535,0.66,0.6567164179104478,0.655,1.211211919784546
"19,16,5,22,6,8,17,15,6,5,18,19,3,10,8",0.665,0.91,0.7262500000000001,0.6434782608695652,0.74,0.6883720930232559,0.665,2.967125415802002
"5,6,16,22,13,18,16,6,17,21,12,13,11,8,5",0.655,0.935,0.7250000000000001,0.6631578947368421,0.63,0.6461538461538462,0.655,1.3458740711212158
"19,16,5,15,4,12,17,15,6,12,14,7,19,10,0",0.63,0.995,0.7212500000000001,0.6226415094339622,0.66,0.6407766990291263,0.63,1.7847490310668945
"5,16,5,16,4,12,17,15,6,12,14,7,19,10,7",0.645,0.95,0.72125,0.6593406593406593,0.6,0.6282722513089005,0.645,1.1285698413848877
