,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"16,16,5,16,4,13,17,15,6,12,9,7,19,10,10",0.695,0.815,0.725,0.6695652173913044,0.77,0.7162790697674418,0.6950000000000001,9.563255786895752
0,"16,16,5,16,4,13,17,15,6,12,14,7,19,10,10",0.69,0.83,0.725,0.6792452830188679,0.72,0.6990291262135923,0.69,9.888177394866943
0,"16,16,0,16,15,13,4,3,11,20,15,13,8,9,10",0.71,0.77,0.725,0.7058823529411765,0.72,0.7128712871287128,0.71,8.633916139602661
0,"19,16,5,16,4,12,17,15,6,12,14,7,19,10,10",0.67,0.89,0.725,0.646551724137931,0.75,0.6944444444444444,0.6699999999999999,12.5383460521698
0,"0,16,5,16,4,12,17,15,6,12,14,7,19,10,2",0.685,0.835,0.7225,0.6554621848739496,0.78,0.7123287671232876,0.685,17.88841938972473
0,"19,16,5,5,4,19,17,15,6,12,14,7,19,10,9",0.675,0.85,0.7187500000000001,0.6521739130434783,0.75,0.6976744186046512,0.675,17.634372234344482
0,"19,17,17,15,6,12,3,7,15,10,0,18,11,22,7",0.685,0.8,0.7137500000000001,0.6528925619834711,0.79,0.7149321266968326,0.685,13.800892353057861
0,"5,6,16,22,13,18,16,6,17,21,12,13,11,8,5",0.695,0.76,0.7112499999999999,0.6444444444444445,0.87,0.7404255319148936,0.6950000000000001,10.760231971740723
0,"17,4,18,5,4,16,8,15,19,8,23,13,15,0,10",0.64,0.925,0.7112499999999999,0.6428571428571429,0.63,0.6363636363636364,0.64,10.079232454299927
0,"19,16,5,4,6,8,17,15,17,5,18,14,3,10,8",0.67,0.835,0.7112499999999999,0.6545454545454545,0.72,0.6857142857142857,0.6699999999999999,17.277607202529907
0,"5,6,16,22,13,18,17,6,6,21,12,13,11,8,5",0.675,0.815,0.7100000000000001,0.6495726495726496,0.76,0.7004608294930875,0.675,11.116688251495361
