,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"17,4,18,5,4,16,18,16,1,8,5,13,5,0,11",0.665,0.845,0.71,0.6571428571428571,0.69,0.6731707317073171,0.665,12.717805862426758
0,"19,18,14,15,4,13,16,16,4,6,17,15,7,22,10",0.665,0.82,0.70375,0.6571428571428571,0.69,0.6731707317073171,0.665,13.762134552001953
0,"16,5,22,4,17,17,15,11,12,14,7,19,13,11,11",0.665,0.79,0.69625,0.6633663366336634,0.67,0.6666666666666666,0.665,8.528764486312866
0,"0,18,17,6,8,17,9,22,0,13,4,12,9,10,22",0.63,0.87,0.6900000000000001,0.63,0.63,0.63,0.63,16.16056537628174
0,"16,5,22,4,17,17,15,6,12,10,12,19,10,11,5",0.62,0.88,0.6849999999999999,0.6333333333333333,0.57,0.6,0.62,8.603155136108398
0,"17,5,22,4,17,6,16,6,17,2,7,19,10,11,7",0.59,0.965,0.6837500000000001,0.6451612903225806,0.4,0.49382716049382713,0.5900000000000001,30.223037481307983
0,"0,18,17,6,8,17,9,22,5,13,4,12,9,10,22",0.62,0.865,0.6812499999999999,0.6,0.72,0.6545454545454545,0.62,10.46389102935791
0,"16,5,22,4,17,17,15,6,12,2,7,19,10,11,11",0.62,0.865,0.6812499999999999,0.625,0.6,0.6122448979591837,0.62,7.717447519302368
0,"16,5,22,4,17,17,15,11,12,16,7,19,13,11,11",0.635,0.795,0.675,0.6216216216216216,0.69,0.6540284360189573,0.635,8.138253688812256
0,"17,5,22,4,17,6,15,6,12,2,7,19,10,11,7",0.57,0.985,0.6737500000000001,0.6296296296296297,0.34,0.44155844155844154,0.5700000000000001,31.240144968032837
0,"17,4,19,17,5,16,17,11,6,8,22,17,15,19,11",0.62,0.82,0.6699999999999999,0.5952380952380952,0.75,0.6637168141592921,0.62,13.122761011123657
0,"16,5,22,4,17,16,7,21,12,14,7,19,0,11,11",0.625,0.8,0.66875,0.616822429906542,0.66,0.6376811594202898,0.625,7.611701726913452
