fitness,encoding
0.6837500000000001,"18,5,6,12,4,19,4,14,6,4,14,21,16,5,6"
0.6837500000000001,"18,5,6,12,4,19,4,14,6,4,14,21,16,5,6"
0.6837500000000001,"18,5,6,12,4,19,4,14,6,4,14,21,16,5,6"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.7050000000000001,"6,4,19,18,11,15,17,21,4,5,12,17,18,9,10"
0.7050000000000001,"6,4,19,18,11,15,17,21,4,5,12,17,18,9,10"
0.7112499999999999,"19,4,19,16,11,12,17,21,4,5,12,17,18,9,7"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
0.73,"19,4,19,16,11,5,17,21,4,5,12,17,18,9,13"
