encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"17,5,22,4,17,6,16,6,17,2,12,19,10,11,5",0.635,0.98,0.72125,0.6336633663366337,0.64,0.6368159203980099,0.635,1.7336456775665283
"16,5,22,4,17,17,15,6,12,2,7,19,10,11,11",0.645,0.945,0.72,0.6526315789473685,0.62,0.6358974358974359,0.645,1.5830261707305908
"16,5,22,4,17,17,15,6,12,14,12,19,11,11,5",0.62,0.99,0.7124999999999999,0.6176470588235294,0.63,0.6237623762376238,0.62,1.4970026016235352
"19,10,16,15,13,13,16,6,17,21,12,20,11,8,10",0.63,0.955,0.71125,0.6805555555555556,0.49,0.5697674418604651,0.63,2.114185333251953
"16,5,22,4,17,17,15,6,12,14,3,19,10,11,11",0.62,0.985,0.7112499999999999,0.6463414634146342,0.53,0.5824175824175825,0.62,1.529266595840454
"16,5,22,4,17,17,15,5,12,14,7,19,7,11,11",0.615,0.99,0.70875,0.6455696202531646,0.51,0.5698324022346368,0.615,1.5874414443969727
"17,5,22,4,17,6,16,6,17,2,7,19,10,11,7",0.61,0.99,0.7050000000000001,0.6309523809523809,0.53,0.5760869565217391,0.61,1.687004566192627
"16,5,22,4,17,17,15,6,12,10,12,19,10,11,5",0.61,0.99,0.7050000000000001,0.6078431372549019,0.62,0.6138613861386139,0.61,1.7838799953460693
"19,10,16,22,13,18,16,5,5,21,12,20,11,8,5",0.625,0.945,0.7050000000000001,0.6712328767123288,0.49,0.5664739884393064,0.625,2.0611159801483154
"19,10,18,11,15,17,21,10,5,5,17,21,9,10,5",0.625,0.94,0.70375,0.6582278481012658,0.52,0.5810055865921788,0.625,2.047689199447632
"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5",0.61,0.985,0.70375,0.6375,0.51,0.5666666666666667,0.61,2.455880880355835
"16,19,18,17,4,10,19,0,6,0,7,17,13,10,9",0.605,0.995,0.7025,0.6060606060606061,0.6,0.6030150753768844,0.605,2.976351022720337
"16,5,22,4,17,17,15,6,12,14,12,19,10,11,5",0.605,0.985,0.7,0.6235294117647059,0.53,0.572972972972973,0.605,1.4658112525939941
"16,19,18,17,4,10,15,0,12,0,7,17,13,10,9",0.6,0.995,0.6987500000000001,0.6190476190476191,0.52,0.5652173913043478,0.6000000000000001,2.971719741821289
"17,5,16,4,13,6,15,6,17,21,12,20,10,11,7",0.6,0.995,0.69875,0.631578947368421,0.48,0.5454545454545454,0.6,1.390028715133667
"16,5,22,4,17,17,15,6,12,16,3,19,10,11,11",0.6,0.995,0.69875,0.6041666666666666,0.58,0.5918367346938775,0.6,1.7410962581634521
"17,5,22,4,17,6,15,6,12,2,7,19,10,11,7",0.605,0.975,0.6975,0.6129032258064516,0.57,0.5906735751295337,0.605,1.5337591171264648
"19,10,10,19,8,17,5,2,13,13,5,13,23,8,9",0.645,0.855,0.6975,0.6835443037974683,0.54,0.6033519553072626,0.645,1.9025485515594482
"19,10,16,15,13,18,16,6,17,21,12,20,11,8,5",0.61,0.955,0.69625,0.6617647058823529,0.45,0.5357142857142857,0.61,2.2942166328430176
"19,10,16,15,13,13,16,20,17,21,12,20,11,8,10",0.61,0.95,0.6950000000000001,0.6341463414634146,0.52,0.5714285714285714,0.61,2.175471544265747
"17,9,15,19,11,0,8,5,5,13,17,21,7,0,9",0.635,0.875,0.6950000000000001,0.6753246753246753,0.52,0.5875706214689266,0.635,1.6528408527374268
"16,5,22,4,17,17,16,6,17,14,12,19,10,11,5",0.595,0.995,0.695,0.6233766233766234,0.48,0.5423728813559322,0.595,1.6254246234893799
"19,10,16,15,13,18,16,6,17,5,12,20,11,8,5",0.595,0.995,0.695,0.6172839506172839,0.5,0.5524861878453039,0.595,2.1190929412841797
"17,10,16,10,13,6,16,6,17,21,12,20,10,8,7",0.6,0.975,0.6937500000000001,0.6190476190476191,0.52,0.5652173913043478,0.6000000000000001,1.517181158065796
"17,9,15,19,11,0,16,5,17,13,17,21,7,0,9",0.635,0.87,0.69375,0.6551724137931034,0.57,0.6096256684491979,0.635,1.491067886352539
"19,18,11,15,17,21,10,5,5,17,18,9,10,5,21",0.6,0.975,0.69375,0.6063829787234043,0.57,0.5876288659793815,0.6,3.570650339126587
"17,9,15,19,11,0,8,16,12,13,17,21,7,0,9",0.64,0.85,0.6925,0.6666666666666666,0.56,0.6086956521739131,0.64,1.4101183414459229
"16,5,22,4,17,17,15,6,12,14,7,19,10,11,11",0.59,1.0,0.6925,0.6125,0.49,0.5444444444444444,0.59,1.569859504699707
"19,10,16,22,13,18,16,2,13,21,12,20,11,8,5",0.625,0.89,0.69125,0.6582278481012658,0.52,0.5810055865921788,0.625,2.0738377571105957
"19,10,15,12,11,0,15,16,12,13,7,21,7,0,11",0.605,0.945,0.69,0.64,0.48,0.5485714285714286,0.605,2.0206546783447266
"19,10,10,19,8,17,5,2,13,13,5,13,23,12,9",0.65,0.805,0.6887500000000001,0.7142857142857143,0.5,0.5882352941176471,0.65,3.953500509262085
"19,10,16,22,13,18,16,6,12,21,12,20,11,8,5",0.595,0.97,0.68875,0.6172839506172839,0.5,0.5524861878453039,0.595,2.1526381969451904
"17,10,16,10,13,6,16,6,17,21,12,20,11,8,7",0.595,0.97,0.68875,0.6021505376344086,0.56,0.5803108808290155,0.595,1.6094155311584473
"16,5,15,12,11,0,15,16,12,13,7,21,7,0,11",0.625,0.88,0.68875,0.6344086021505376,0.59,0.6113989637305699,0.625,1.2517526149749756
"19,10,16,22,13,18,16,5,17,21,12,20,7,8,5",0.61,0.925,0.68875,0.6617647058823529,0.45,0.5357142857142857,0.61,2.192298412322998
"4,19,18,11,15,17,21,10,5,5,17,18,9,10,5",0.595,0.965,0.6875,0.6266666666666667,0.47,0.5371428571428571,0.595,8.449081659317017
"19,12,12,15,11,13,18,15,11,6,17,10,12,11,11",0.59,0.975,0.68625,0.618421052631579,0.47,0.5340909090909091,0.59,1.9678707122802734
"19,10,15,19,11,0,15,16,12,13,7,21,7,0,11",0.6,0.945,0.68625,0.631578947368421,0.48,0.5454545454545454,0.6,2.0845978260040283
"4,19,18,11,15,17,21,6,12,5,17,18,9,10,5",0.585,0.99,0.68625,0.6024096385542169,0.5,0.546448087431694,0.585,3.5699634552001953
"19,10,15,19,11,0,15,16,12,13,7,14,7,0,11",0.6,0.94,0.6849999999999999,0.625,0.5,0.5555555555555556,0.6,2.0909523963928223
"19,10,16,15,13,21,16,6,17,21,12,20,11,8,21",0.585,0.985,0.6849999999999999,0.6440677966101694,0.38,0.4779874213836478,0.585,2.072845220565796
"19,10,16,2,13,0,16,16,17,13,12,20,7,8,5",0.615,0.89,0.68375,0.6666666666666666,0.46,0.5443786982248521,0.615,2.1034982204437256
"19,18,16,22,13,18,16,6,17,21,12,20,11,8,5",0.58,0.995,0.68375,0.6081081081081081,0.45,0.5172413793103449,0.58,9.041150569915771
"19,10,15,19,11,0,15,16,12,13,7,20,7,0,11",0.595,0.95,0.68375,0.6338028169014085,0.45,0.5263157894736842,0.595,2.091696262359619
"19,10,16,15,13,13,16,6,17,21,12,18,11,8,10",0.595,0.95,0.68375,0.6610169491525424,0.39,0.49056603773584906,0.595,2.1010568141937256
