models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,3,4,6,9",0.78,0.9,0.7857142857142857,0.77,0.7777777777777778,0.78
"0,1,2,3,4",0.77,0.97,0.7596153846153846,0.79,0.7745098039215687,0.77
"0,1,2,6,9",0.77,0.97,0.7288135593220338,0.86,0.7889908256880734,0.77
"0,2,3,4,8",0.77,0.93,0.7647058823529411,0.78,0.7722772277227723,0.77
"0,2,3,4,5",0.765,0.92,0.7431192660550459,0.81,0.7751196172248804,0.765
"0,2,3,6,9",0.765,0.9,0.7572815533980582,0.78,0.7684729064039408,0.765
"0,2,4,5,6",0.765,0.93,0.7523809523809524,0.79,0.7707317073170732,0.765
"0,3,4,5,9",0.765,0.89,0.7476635514018691,0.8,0.7729468599033816,0.765
"1,2,3,5,7",0.765,0.92,0.7476635514018691,0.8,0.7729468599033816,0.765
"1,2,3,6,7",0.765,0.94,0.7912087912087912,0.72,0.7539267015706806,0.765
"1,2,3,6,9",0.765,0.94,0.7523809523809524,0.79,0.7707317073170732,0.765
"2,3,4,6,9",0.765,0.92,0.7572815533980582,0.78,0.7684729064039408,0.765
"0,1,3,5,9",0.765,0.9,0.7387387387387387,0.82,0.7772511848341233,0.7649999999999999
"0,2,4,6,9",0.765,0.95,0.7387387387387387,0.82,0.7772511848341233,0.7649999999999999
"0,1,2,3,8",0.76,0.94,0.7407407407407407,0.8,0.7692307692307693,0.76
"0,1,2,3,9",0.76,0.96,0.7203389830508474,0.85,0.7798165137614679,0.76
"0,1,3,6,9",0.76,0.9,0.75,0.78,0.7647058823529411,0.76
"0,2,3,4,9",0.76,0.96,0.7363636363636363,0.81,0.7714285714285715,0.76
"0,2,3,5,9",0.76,0.9,0.7280701754385965,0.83,0.7757009345794392,0.76
"0,2,3,6,7",0.76,0.91,0.7954545454545454,0.7,0.7446808510638298,0.76
"0,1,2,3,6",0.755,0.94,0.7475728155339806,0.77,0.7586206896551724,0.755
"0,1,2,5,6",0.755,0.96,0.7297297297297297,0.81,0.7677725118483413,0.755
"0,1,3,5,8",0.755,0.89,0.7383177570093458,0.79,0.7632850241545893,0.755
"0,2,3,4,6",0.755,0.92,0.7575757575757576,0.75,0.7537688442211056,0.755
"0,2,4,6,8",0.755,0.93,0.7475728155339806,0.77,0.7586206896551724,0.755
"0,3,4,6,8",0.755,0.89,0.7741935483870968,0.72,0.7461139896373057,0.755
"1,2,3,4,6",0.755,0.97,0.7524752475247525,0.76,0.7562189054726368,0.755
"1,3,4,6,9",0.755,0.93,0.7628865979381443,0.74,0.751269035532995,0.755
"0,1,2,3,5",0.755,0.93,0.7256637168141593,0.82,0.7699530516431925,0.7549999999999999
"0,1,2,4,6",0.75,0.97,0.7403846153846154,0.77,0.7549019607843137,0.75
"0,1,2,6,8",0.75,0.96,0.7272727272727273,0.8,0.7619047619047619,0.75
"0,1,3,5,6",0.75,0.89,0.7604166666666666,0.73,0.7448979591836735,0.75
"0,2,3,5,7",0.75,0.87,0.7358490566037735,0.78,0.7572815533980582,0.75
"0,2,3,7,8",0.75,0.9,0.7659574468085106,0.72,0.7422680412371134,0.75
"0,2,5,6,9",0.75,0.89,0.711864406779661,0.84,0.7706422018348624,0.75
"1,2,3,4,5",0.75,0.97,0.7272727272727273,0.8,0.7619047619047619,0.75
"1,3,4,6,8",0.75,0.93,0.7659574468085106,0.72,0.7422680412371134,0.75
"1,3,4,7,9",0.75,0.95,0.7659574468085106,0.72,0.7422680412371134,0.75
"0,1,2,4,5",0.745,0.96,0.7289719626168224,0.78,0.7536231884057971,0.745
"0,1,2,4,7",0.745,0.96,0.7425742574257426,0.75,0.746268656716418,0.745
"0,1,3,4,5",0.745,0.92,0.7333333333333333,0.77,0.751219512195122,0.745
"0,2,3,7,9",0.745,0.92,0.7378640776699029,0.76,0.7487684729064039,0.745
"0,2,4,5,9",0.745,0.96,0.7094017094017094,0.83,0.7649769585253456,0.745
"0,2,6,7,9",0.745,0.93,0.7289719626168224,0.78,0.7536231884057971,0.745
"0,3,4,7,9",0.745,0.91,0.7578947368421053,0.72,0.7384615384615385,0.745
"1,2,4,5,6",0.745,0.97,0.7289719626168224,0.78,0.7536231884057971,0.745
"2,3,4,6,7",0.745,0.92,0.788235294117647,0.67,0.7243243243243244,0.745
"0,1,3,4,7",0.74,0.92,0.7448979591836735,0.73,0.7373737373737373,0.74
