fitness,encoding
0.58125,"12,14,5,4,0,7,10,9,22,9,11,0,6,18,9"
0.6012500000000001,"9,19,10,0,6,22,9,19,1,0,13,11,4,10,14"
0.6012500000000001,"9,19,10,0,6,22,9,19,1,0,13,11,4,10,14"
0.6012500000000001,"9,19,10,0,6,22,9,19,1,0,13,11,4,10,14"
0.6012500000000001,"9,19,10,0,6,22,9,19,1,0,13,11,4,10,14"
0.60875,"14,12,11,18,1,10,5,4,4,2,8,8,16,11,6"
0.60875,"14,12,11,18,1,10,5,4,4,2,8,8,16,11,6"
0.60875,"14,12,11,18,1,10,5,4,4,2,8,8,16,11,6"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.6375,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.64375,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12"
0.645,"17,4,6,15,17,16,4,2,5,13,15,3,13,23,12"
