encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"4,17,17,15,6,12,14,7,19,10,11,11,11,20,0",0.545,1.0,0.6587500000000001,0.5957446808510638,0.28,0.38095238095238093,0.545,0.8041636943817139
"16,12,5,0,0,17,15,4,13,13,5,16,16,11,6",0.56,0.94,0.655,0.5714285714285714,0.48,0.5217391304347826,0.56,0.6823005676269531
"16,5,5,17,0,17,15,22,13,13,5,16,4,16,6",0.535,0.97,0.64375,0.5466666666666666,0.41,0.4685714285714286,0.535,0.7509469985961914
"4,17,17,15,6,12,14,7,19,10,11,11,11,20,2",0.53,0.97,0.64,0.5789473684210527,0.22,0.3188405797101449,0.53,0.8478784561157227
"4,17,17,15,6,12,14,7,19,10,11,11,11,22,0",0.525,0.98,0.63875,0.5675675675675675,0.21,0.30656934306569344,0.525,0.8092374801635742
"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23",0.64,0.63,0.6375,0.6186440677966102,0.73,0.6697247706422018,0.64,0.7981257438659668
"9,10,19,6,5,13,2,3,17,7,4,8,14,7,3",0.62,0.68,0.635,0.6621621621621622,0.49,0.5632183908045977,0.62,0.682525634765625
"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5",0.555,0.86,0.63125,0.5321637426900585,0.91,0.6715867158671587,0.555,0.9937152862548828
"16,14,5,0,0,17,15,7,13,13,5,16,4,10,6",0.615,0.67,0.6287499999999999,0.5732484076433121,0.9,0.7003891050583657,0.615,0.7904119491577148
"12,19,17,4,17,11,13,15,13,17,19,8,23,11,16",0.56,0.82,0.625,0.6071428571428571,0.34,0.4358974358974359,0.56,1.5181989669799805
"4,17,17,15,6,12,14,7,19,2,11,11,11,20,2",0.55,0.83,0.62,0.578125,0.37,0.45121951219512196,0.55,0.9203243255615234
"16,5,5,0,0,17,15,22,13,13,5,16,4,16,6",0.5,0.97,0.6174999999999999,0.5,0.51,0.504950495049505,0.5,0.6765315532684326
"0,16,5,22,4,17,17,15,6,12,14,7,19,10,11",0.49,0.98,0.6125,0.48936170212765956,0.46,0.4742268041237113,0.49,0.814049243927002
"16,16,5,0,0,17,15,2,13,13,5,16,23,12,6",0.54,0.83,0.6125,0.5625,0.36,0.43902439024390244,0.54,0.7214353084564209
"4,17,17,15,6,12,14,7,19,10,11,11,6,20,0",0.54,0.83,0.6125,0.524390243902439,0.86,0.6515151515151515,0.54,0.773493766784668
"22,17,12,5,14,4,3,5,21,7,17,18,5,6,9",0.56,0.77,0.6124999999999999,0.581081081081081,0.43,0.4942528735632184,0.5599999999999999,0.8778095245361328
"14,17,5,20,11,14,19,12,4,22,2,11,3,8,20",0.545,0.81,0.61125,0.5405405405405406,0.6,0.5687203791469194,0.5449999999999999,0.7362790107727051
"16,5,23,6,11,10,20,6,12,4,23,10,14,9,4",0.565,0.75,0.61125,0.6585365853658537,0.27,0.3829787234042553,0.565,0.8331379890441895
"14,12,11,18,1,10,5,4,4,2,8,8,16,11,6",0.595,0.65,0.60875,0.6233766233766234,0.48,0.5423728813559322,0.595,0.7078077793121338
"18,9,16,19,18,17,4,10,19,0,6,0,7,17,13",0.54,0.81,0.6075,0.5526315789473685,0.42,0.4772727272727273,0.54,2.1873929500579834
"4,5,17,15,6,12,14,7,19,10,23,11,11,20,2",0.51,0.9,0.6075,0.5072463768115942,0.7,0.5882352941176471,0.51,0.8455471992492676
"13,21,14,3,5,14,12,19,6,17,9,19,12,12,15",0.555,0.76,0.60625,0.5314285714285715,0.93,0.6763636363636364,0.555,1.061570167541504
"4,18,5,4,16,18,17,1,8,5,13,15,0,11,1",0.58,0.67,0.6025,0.5975609756097561,0.49,0.5384615384615384,0.5800000000000001,1.1075773239135742
"14,15,13,2,2,23,15,6,6,0,14,8,13,21,17",0.61,0.58,0.6025,0.5763888888888888,0.83,0.680327868852459,0.61,0.7540276050567627
"4,16,17,0,0,17,15,7,13,13,5,11,4,10,6",0.56,0.73,0.6025,0.6875,0.22,0.3333333333333333,0.56,0.8618559837341309
"4,16,5,15,9,8,0,13,14,4,2,9,2,19,4",0.66,0.43,0.6024999999999999,0.6818181818181818,0.6,0.6382978723404256,0.6599999999999999,0.6752445697784424
"4,17,17,15,6,12,9,7,19,10,11,11,11,20,0",0.485,0.95,0.6012500000000001,0.44,0.11,0.176,0.485,0.8113389015197754
"9,19,10,0,6,22,9,19,1,0,13,11,4,10,14",0.565,0.71,0.6012500000000001,0.6181818181818182,0.34,0.43870967741935485,0.5650000000000001,0.731644868850708
"11,6,1,3,2,3,9,3,19,9,7,20,9,0,3",0.61,0.57,0.6000000000000001,0.6,0.66,0.6285714285714286,0.6100000000000001,0.6525607109069824
"16,16,5,0,0,17,15,2,13,13,21,16,23,12,6",0.53,0.81,0.6000000000000001,0.5348837209302325,0.46,0.4946236559139785,0.53,0.7407064437866211
"14,17,13,15,2,12,14,6,19,10,11,11,11,20,0",0.5,0.9,0.6,0.5,0.3,0.375,0.5,0.8157930374145508
"12,14,5,0,15,11,14,16,7,15,1,13,4,10,23",0.605,0.58,0.59875,0.5897435897435898,0.69,0.6359447004608295,0.605,0.7185640335083008
"12,14,17,15,6,11,14,7,7,15,1,13,4,10,23",0.575,0.67,0.5987499999999999,0.5773195876288659,0.56,0.5685279187817259,0.575,0.75388503074646
"9,17,18,10,15,17,19,15,14,8,5,6,5,2,6",0.61,0.56,0.5975,0.5859375,0.75,0.6578947368421053,0.61,1.3308899402618408
"16,21,5,0,0,17,15,2,13,13,21,16,23,12,6",0.515,0.84,0.59625,0.5130434782608696,0.59,0.5488372093023256,0.515,1.1804533004760742
"12,5,3,6,10,6,1,22,16,15,8,1,4,16,5",0.575,0.66,0.59625,0.6829268292682927,0.28,0.3971631205673759,0.575,0.6496856212615967
"4,8,14,7,3,1,13,8,16,15,22,4,10,15,14",0.6,0.58,0.5950000000000001,0.5862068965517241,0.68,0.6296296296296297,0.6000000000000001,0.7485542297363281
"9,11,3,5,10,19,1,14,6,12,7,23,8,11,2",0.6,0.58,0.5950000000000001,0.5909090909090909,0.65,0.6190476190476191,0.6000000000000001,0.8015153408050537
"12,6,3,3,8,2,13,11,3,22,9,3,3,12,16",0.57,0.67,0.595,0.6346153846153846,0.33,0.4342105263157895,0.5700000000000001,0.6302576065063477
"18,8,20,5,5,12,19,0,1,14,6,4,6,7,8",0.575,0.65,0.59375,0.6363636363636364,0.35,0.45161290322580644,0.575,0.7569429874420166
"16,3,6,12,10,20,12,14,12,15,20,11,2,4,23",0.52,0.81,0.5925,0.524390243902439,0.43,0.4725274725274725,0.52,0.7192070484161377
"10,13,5,20,3,2,4,3,5,17,5,16,16,10,4",0.61,0.54,0.5925,0.5705128205128205,0.89,0.6953125,0.61,0.6953999996185303
"14,20,16,15,11,14,16,7,15,1,13,4,10,23,8",0.58,0.63,0.5925,0.5740740740740741,0.62,0.5961538461538461,0.5800000000000001,0.7424719333648682
"6,19,10,6,8,22,12,21,8,10,10,8,10,22,0",0.535,0.76,0.59125,0.5284552845528455,0.65,0.5829596412556054,0.535,0.801145076751709
"6,11,17,13,8,7,3,22,15,13,11,16,0,9,18",0.605,0.55,0.59125,0.574468085106383,0.81,0.6721991701244814,0.605,0.7238063812255859
"14,17,13,15,11,12,14,6,19,10,11,11,11,20,4",0.535,0.76,0.5912499999999999,0.5267175572519084,0.69,0.5974025974025974,0.5349999999999999,0.7380354404449463
"16,14,5,15,6,11,14,7,13,15,1,16,4,10,23",0.55,0.71,0.5900000000000001,0.65625,0.21,0.3181818181818182,0.55,0.7616784572601318
"4,17,10,0,6,12,14,7,19,10,11,11,11,20,0",0.51,0.83,0.5900000000000001,0.53125,0.17,0.25757575757575757,0.51,0.7725989818572998
"12,21,17,0,0,17,15,2,13,13,21,16,23,12,6",0.54,0.74,0.5900000000000001,0.5238095238095238,0.88,0.6567164179104478,0.54,0.8574767112731934
"0,8,14,1,1,14,19,8,10,1,7,7,11,15,8",0.595,0.57,0.58875,0.5693430656934306,0.78,0.6582278481012658,0.595,0.7558348178863525
"19,14,11,7,4,15,4,23,8,19,8,8,18,9,2",0.585,0.6,0.58875,0.7741935483870968,0.24,0.366412213740458,0.585,0.8572771549224854
"5,12,1,11,23,13,23,7,19,13,1,7,15,10,16",0.595,0.57,0.58875,0.6,0.57,0.5846153846153846,0.595,0.7647802829742432
"12,17,17,15,17,12,14,15,19,10,4,11,11,20,0",0.495,0.87,0.58875,0.49586776859504134,0.6,0.5429864253393665,0.495,0.9112036228179932
"21,16,4,2,2,20,8,5,6,0,16,15,12,3,10",0.535,0.75,0.58875,0.528,0.66,0.5866666666666667,0.535,0.8989725112915039
