,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"17,12,0,17,19,15,4,14,12,15,10,23,12,11,13",0.595,0.88,0.66625,0.620253164556962,0.49,0.547486033519553,0.595,6.320435285568237
0,"19,4,16,4,10,16,4,6,5,13,0,3,13,9,12",0.61,0.83,0.665,0.5964912280701754,0.68,0.6355140186915887,0.6100000000000001,5.84389066696167
0,"18,14,11,9,15,12,13,13,10,4,0,21,15,19,8",0.6,0.86,0.6649999999999999,0.631578947368421,0.48,0.5454545454545454,0.6,14.458127737045288
0,"6,6,12,4,18,17,17,2,11,6,10,19,15,7,20",0.585,0.87,0.65625,0.6197183098591549,0.44,0.5146198830409356,0.585,15.659759044647217
0,"19,12,5,4,13,18,12,6,17,21,12,20,11,8,5",0.575,0.87,0.6487499999999999,0.5806451612903226,0.54,0.5595854922279793,0.575,14.805369853973389
0,"17,6,17,21,6,9,18,2,16,21,8,11,12,22,14",0.58,0.82,0.6400000000000001,0.6333333333333333,0.38,0.475,0.5800000000000001,5.377072334289551
0,"4,17,17,15,6,12,14,7,19,10,11,11,11,20,2",0.57,0.84,0.6375000000000001,0.6842105263157895,0.26,0.37681159420289856,0.5700000000000001,5.282954216003418
0,"17,4,6,15,17,16,4,2,5,13,15,3,13,23,12",0.56,0.86,0.635,0.5697674418604651,0.49,0.5268817204301075,0.56,5.283521890640259
0,"4,17,0,17,19,12,14,14,19,6,11,11,11,22,0",0.545,0.89,0.63125,0.5391304347826087,0.62,0.5767441860465117,0.5449999999999999,6.215688228607178
0,"16,5,23,6,11,10,20,6,12,4,23,10,14,9,4",0.565,0.83,0.63125,0.6140350877192983,0.35,0.445859872611465,0.565,9.882977485656738
0,"14,4,6,15,11,16,4,7,5,13,0,3,13,23,12",0.555,0.85,0.62875,0.569620253164557,0.45,0.5027932960893855,0.555,5.324532985687256
0,"19,5,5,4,13,18,12,6,17,21,8,20,11,8,5",0.54,0.86,0.62,0.5769230769230769,0.3,0.39473684210526316,0.54,15.444711208343506
0,"4,17,17,15,6,12,14,7,19,2,11,11,11,20,2",0.545,0.84,0.6187499999999999,0.5529411764705883,0.47,0.5081081081081081,0.5449999999999999,7.596957683563232
0,"14,4,16,15,11,16,4,7,5,13,3,3,13,23,12",0.525,0.88,0.61375,0.5362318840579711,0.37,0.4378698224852071,0.525,5.991874694824219
0,"14,4,16,15,11,16,4,7,5,13,0,3,13,23,12",0.525,0.88,0.61375,0.5362318840579711,0.37,0.4378698224852071,0.525,5.929238319396973
0,"19,18,17,4,10,19,0,6,0,7,17,13,10,9,5",0.515,0.9,0.61125,0.5454545454545454,0.18,0.2706766917293233,0.515,15.563281059265137
0,"16,10,23,6,11,10,20,6,12,4,12,10,14,9,4",0.59,0.67,0.6100000000000001,0.5642857142857143,0.79,0.6583333333333333,0.5900000000000001,5.504795789718628
0,"0,16,5,22,4,17,17,15,6,12,14,7,19,10,11",0.515,0.89,0.6087499999999999,0.5148514851485149,0.52,0.5174129353233831,0.515,6.9679789543151855
0,"4,17,17,15,6,12,14,7,19,10,11,11,11,22,0",0.535,0.81,0.60375,0.6206896551724138,0.18,0.27906976744186046,0.535,4.9622697830200195
0,"16,5,5,17,0,17,15,22,13,13,5,16,4,16,6",0.545,0.78,0.60375,0.5436893203883495,0.56,0.5517241379310345,0.545,4.782123327255249
0,"17,6,16,9,18,9,18,2,16,21,8,13,12,13,20",0.525,0.84,0.60375,0.5333333333333333,0.4,0.45714285714285713,0.525,7.422671794891357
0,"4,5,17,15,6,12,14,7,19,10,23,11,11,20,2",0.535,0.8,0.60125,0.5376344086021505,0.5,0.5181347150259067,0.5349999999999999,4.8507726192474365
0,"19,12,12,15,11,13,18,15,11,6,17,10,12,11,11",0.515,0.85,0.59875,0.5121951219512195,0.63,0.5650224215246636,0.515,5.126057863235474
0,"4,17,17,15,6,12,14,7,19,10,11,11,11,20,0",0.535,0.79,0.59875,0.6521739130434783,0.15,0.24390243902439024,0.535,4.948614835739136
0,"14,15,13,2,2,23,15,6,6,0,14,8,13,21,17",0.6,0.59,0.5974999999999999,0.6351351351351351,0.47,0.5402298850574713,0.6,5.703298807144165
0,"17,10,0,17,19,15,4,14,12,15,12,23,12,12,2",0.535,0.78,0.59625,0.574468085106383,0.27,0.3673469387755102,0.535,6.318346261978149
0,"17,6,15,4,18,9,9,2,16,21,8,9,12,13,14",0.52,0.82,0.595,0.5120481927710844,0.85,0.6390977443609023,0.52,5.267698526382446
0,"19,10,11,7,13,18,16,6,17,21,12,20,11,8,5",0.535,0.77,0.59375,0.5241379310344828,0.76,0.6204081632653061,0.535,8.669819831848145
0,"17,6,15,4,18,9,18,2,16,21,8,9,12,13,14",0.54,0.75,0.5925,0.525,0.84,0.6461538461538462,0.54,5.731207847595215
0,"19,6,12,0,3,23,2,8,10,7,6,20,4,10,12",0.515,0.82,0.59125,0.5189873417721519,0.41,0.4581005586592179,0.515,16.50962996482849
0,"19,10,5,4,13,18,12,6,17,21,12,20,11,8,5",0.5,0.85,0.5875,0.5,0.47,0.4845360824742268,0.5,7.323728322982788
0,"17,6,16,4,18,9,18,2,16,21,8,9,12,13,14",0.485,0.89,0.58625,0.48314606741573035,0.43,0.455026455026455,0.485,6.723340749740601
0,"6,10,16,22,13,18,17,6,11,6,10,20,15,8,5",0.495,0.86,0.5862499999999999,0.4931506849315068,0.36,0.4161849710982659,0.495,14.678022146224976
0,"14,12,16,13,11,15,4,13,12,15,10,23,12,11,13",0.53,0.74,0.5825,0.5272727272727272,0.58,0.5523809523809524,0.53,4.8669211864471436
0,"4,17,17,15,6,12,14,7,19,10,11,11,6,20,0",0.52,0.77,0.5825,0.5131578947368421,0.78,0.6190476190476191,0.52,5.38439416885376
0,"5,17,0,18,2,14,5,6,16,13,21,8,12,10,22",0.5,0.83,0.5825,0.5,0.35,0.4117647058823529,0.5,8.705757856369019
0,"6,10,12,22,13,18,17,6,13,6,10,20,15,8,5",0.495,0.84,0.58125,0.4936708860759494,0.39,0.43575418994413406,0.495,14.817512273788452
0,"17,6,18,4,18,9,18,2,16,21,8,9,12,13,14",0.485,0.85,0.57625,0.48598130841121495,0.52,0.5024154589371981,0.485,7.8031651973724365
0,"22,17,12,5,14,4,3,5,21,7,17,18,5,6,9",0.475,0.88,0.5762499999999999,0.46153846153846156,0.3,0.36363636363636365,0.475,8.495973825454712
0,"17,6,16,9,18,9,18,2,16,21,8,9,15,7,14",0.485,0.84,0.57375,0.4838709677419355,0.45,0.46632124352331605,0.485,5.604645252227783
0,"6,6,19,4,15,17,21,2,12,11,6,19,2,7,20",0.525,0.72,0.57375,0.6086956521739131,0.14,0.22764227642276422,0.525,7.508626937866211
0,"14,17,5,20,11,14,19,12,4,22,2,11,3,8,20",0.485,0.81,0.56625,0.4727272727272727,0.26,0.33548387096774196,0.485,4.897516489028931
0,"14,16,5,22,4,17,5,15,4,2,8,7,16,10,11",0.44,0.94,0.565,0.4166666666666667,0.3,0.3488372093023256,0.43999999999999995,18.27865433692932
0,"16,14,5,0,0,17,15,7,13,13,5,16,4,10,6",0.565,0.56,0.56375,0.5783132530120482,0.48,0.5245901639344263,0.565,3.7861545085906982
0,"18,6,11,4,15,9,18,2,11,21,8,19,15,7,14",0.465,0.86,0.56375,0.4774193548387097,0.74,0.5803921568627451,0.46499999999999997,6.016830205917358
0,"9,0,9,0,8,14,5,15,13,10,15,14,6,8,2",0.475,0.82,0.56125,0.4489795918367347,0.22,0.2953020134228188,0.475,13.000502109527588
0,"18,6,12,4,15,9,18,2,11,21,8,19,15,7,14",0.545,0.6,0.5587500000000001,0.5260115606936416,0.91,0.6666666666666666,0.545,5.280286550521851
0,"10,20,3,9,0,4,6,14,14,0,17,15,13,20,0",0.5,0.72,0.5549999999999999,0.5,0.62,0.5535714285714286,0.5,7.006191968917847
0,"4,10,5,16,13,18,16,6,17,21,12,20,11,8,5",0.51,0.68,0.5525,0.5067567567567568,0.75,0.6048387096774194,0.51,5.03308367729187
0,"9,10,19,6,5,13,2,3,17,7,4,8,14,7,3",0.49,0.72,0.5475,0.4852941176470588,0.33,0.39285714285714285,0.49,10.261919498443604
0,"17,19,6,9,17,14,13,2,4,22,13,12,13,2,13",0.47,0.77,0.545,0.4642857142857143,0.39,0.42391304347826086,0.47000000000000003,5.717283248901367
0,"19,12,12,15,11,13,23,15,11,6,17,10,12,11,11",0.47,0.77,0.5449999999999999,0.47058823529411764,0.48,0.4752475247524752,0.47,4.855158805847168
0,"13,21,14,3,5,14,12,19,6,17,9,19,12,12,15",0.52,0.61,0.5425,0.5476190476190477,0.23,0.323943661971831,0.52,5.9644081592559814
0,"17,17,17,15,6,12,18,7,16,21,8,11,12,22,0",0.455,0.8,0.54125,0.4594594594594595,0.51,0.4834123222748815,0.455,5.209731340408325
0,"19,10,11,7,13,18,16,6,17,21,12,20,11,13,5",0.505,0.64,0.5387500000000001,0.5102040816326531,0.25,0.33557046979865773,0.505,5.738096475601196
0,"12,14,20,16,15,11,14,16,7,15,1,13,4,10,23",0.505,0.64,0.5387500000000001,0.5098039215686274,0.26,0.3443708609271523,0.505,5.448859214782715
0,"4,10,5,16,13,18,16,6,17,21,8,20,11,8,5",0.485,0.7,0.5387500000000001,0.49079754601226994,0.8,0.6083650190114068,0.48500000000000004,4.9350810050964355
0,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5",0.465,0.75,0.53625,0.47107438016528924,0.57,0.5158371040723982,0.46499999999999997,5.568385362625122
0,"14,18,16,15,11,16,4,7,5,13,13,3,13,23,12",0.495,0.65,0.53375,0.47619047619047616,0.1,0.1652892561983471,0.495,4.963912487030029
0,"4,18,5,4,16,18,17,1,8,5,13,15,0,11,1",0.515,0.59,0.53375,0.5168539325842697,0.46,0.48677248677248675,0.515,7.461304664611816
0,"17,12,0,17,19,15,4,14,13,15,10,9,12,12,13",0.475,0.71,0.53375,0.43902439024390244,0.18,0.2553191489361702,0.475,5.323701858520508
0,"6,17,9,19,12,12,15,11,13,18,15,11,6,17,10",0.455,0.77,0.53375,0.41818181818181815,0.23,0.2967741935483871,0.455,4.9525768756866455
0,"14,12,0,13,19,15,23,14,6,17,6,12,4,11,13",0.49,0.66,0.5325,0.4666666666666667,0.14,0.2153846153846154,0.49,4.290959119796753
0,"12,14,16,14,15,11,14,16,7,15,1,13,4,10,23",0.495,0.64,0.53125,0.4948453608247423,0.48,0.4873096446700508,0.495,6.281269073486328
0,"19,10,16,22,13,18,16,6,17,21,12,20,2,8,5",0.415,0.85,0.52375,0.22580645161290322,0.07,0.10687022900763359,0.41500000000000004,15.42110013961792
0,"12,4,16,15,15,16,4,16,5,13,0,3,13,23,12",0.465,0.7,0.5237499999999999,0.4728682170542636,0.61,0.5327510917030568,0.46499999999999997,4.7306067943573
0,"19,10,23,6,13,18,16,6,17,21,12,20,11,8,5",0.47,0.68,0.5225,0.4745762711864407,0.56,0.5137614678899083,0.47000000000000003,5.113250255584717
0,"17,4,0,17,19,15,4,14,12,15,10,23,12,12,13",0.51,0.56,0.5225,0.5053763440860215,0.94,0.6573426573426573,0.51,5.680357217788696
0,"14,12,0,17,19,15,4,14,12,15,10,23,12,10,13",0.485,0.63,0.52125,0.0,0.0,0.0,0.485,5.038402080535889
0,"14,12,11,18,1,10,9,4,4,2,8,8,16,11,6",0.505,0.56,0.51875,0.5172413793103449,0.15,0.23255813953488372,0.505,10.320131063461304
0,"17,13,21,14,3,5,14,12,19,6,17,9,19,12,12",0.52,0.51,0.5175000000000001,0.5123456790123457,0.83,0.6335877862595419,0.52,4.97908091545105
0,"14,12,0,15,19,15,4,14,12,15,10,23,12,11,13",0.47,0.65,0.515,0.3125,0.05,0.08620689655172414,0.47000000000000003,4.5890748500823975
0,"17,23,0,13,19,13,6,14,13,23,6,9,12,12,16",0.49,0.57,0.51,0.4880952380952381,0.41,0.44565217391304346,0.49,4.6915998458862305
0,"16,16,5,0,0,17,15,2,13,13,5,16,23,12,6",0.52,0.48,0.51,0.5151515151515151,0.68,0.5862068965517241,0.52,4.1805500984191895
0,"4,17,0,17,19,12,14,14,19,6,11,11,11,22,12",0.51,0.5,0.5075000000000001,1.0,0.02,0.0392156862745098,0.51,5.061377763748169
0,"18,9,16,19,18,17,4,10,19,0,6,0,7,17,13",0.505,0.5,0.50375,0.5025125628140703,1.0,0.6688963210702341,0.505,8.644232749938965
0,"16,5,5,0,0,17,15,22,13,13,5,16,4,16,6",0.5,0.5,0.5,0.0,0.0,0.0,0.5,4.130450963973999
0,"14,12,0,17,19,15,4,14,12,15,10,23,12,11,13",0.5,0.5,0.5,0.0,0.0,0.0,0.5,5.184442758560181
0,"14,4,16,17,19,15,4,14,12,15,10,23,12,12,13",0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,5.189684867858887
0,"14,12,11,18,1,10,5,4,4,2,8,8,16,11,6",0.49,0.53,0.5,0.4897959183673469,0.48,0.48484848484848486,0.49,8.836982727050781
0,"19,12,0,13,19,15,4,14,12,15,10,23,12,11,13",0.5,0.5,0.5,0.0,0.0,0.0,0.5,4.785173177719116
0,"14,12,0,13,19,15,4,14,12,15,10,23,12,11,13",0.5,0.5,0.5,0.0,0.0,0.0,0.5,4.276268005371094
0,"17,12,0,17,19,15,4,14,13,15,10,23,12,10,13",0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,5.056699752807617
0,"14,12,19,6,17,9,19,12,12,15,11,13,18,15,11",0.5,0.5,0.5,0.0,0.0,0.0,0.5,5.172503471374512
0,"19,14,6,16,11,11,14,23,7,15,1,13,4,10,23",0.385,0.81,0.49125,0.3050847457627119,0.18,0.22641509433962265,0.385,10.467375040054321
0,"14,12,17,15,19,15,4,14,12,15,10,23,12,11,13",0.445,0.54,0.46875,0.4666666666666667,0.77,0.5811320754716981,0.445,4.7237207889556885
0,"14,6,19,15,11,9,18,7,16,21,8,9,12,23,14",0.465,0.42,0.45375,0.47586206896551725,0.69,0.563265306122449,0.46499999999999997,4.460886716842651
0,"16,12,5,0,0,17,15,4,13,13,5,16,16,11,6",0.425,0.52,0.44875,0.3333333333333333,0.15,0.20689655172413793,0.425,3.9919421672821045
0,"12,19,17,4,17,11,13,15,13,17,19,8,23,11,16",0.435,0.33,0.40874999999999995,0.43157894736842106,0.41,0.4205128205128205,0.435,7.328953504562378
