,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"13,15,13,11,5,19,4,0,11,0,8,5,20,13,11",0.7,0.96,0.7649999999999999,0.6818181818181818,0.75,0.7142857142857143,0.7,16.695282697677612
0,"13,15,13,11,5,19,4,0,11,0,8,5,20,0,11",0.72,0.87,0.7575000000000001,0.6964285714285714,0.78,0.7358490566037735,0.72,6.069566965103149
0,"13,14,15,12,22,12,16,13,16,6,17,19,15,10,2",0.695,0.89,0.7437499999999999,0.6585365853658537,0.81,0.726457399103139,0.6950000000000001,13.904049634933472
0,"13,15,13,11,5,19,4,0,11,0,8,5,20,6,11",0.675,0.92,0.7362500000000001,0.6966292134831461,0.62,0.656084656084656,0.675,10.393492937088013
0,"18,6,13,11,15,7,16,18,13,21,12,8,11,9,7",0.67,0.9,0.7274999999999999,0.6808510638297872,0.64,0.6597938144329897,0.6699999999999999,7.102712631225586
0,"13,15,16,12,4,19,4,0,13,0,8,5,8,22,11",0.685,0.85,0.7262500000000001,0.7176470588235294,0.61,0.6594594594594595,0.685,6.212968587875366
0,"19,12,17,13,13,18,15,6,19,5,10,11,3,6,5",0.65,0.93,0.72,0.6271186440677966,0.74,0.6788990825688074,0.65,18.812633514404297
0,"19,16,17,13,6,10,21,16,10,3,10,9,11,13,7",0.66,0.89,0.7175,0.625,0.8,0.7017543859649122,0.66,20.366664171218872
0,"19,18,17,13,13,18,15,6,19,16,10,11,6,8,5",0.665,0.87,0.71625,0.6078431372549019,0.93,0.7351778656126482,0.665,32.691065311431885
0,"13,18,14,16,20,13,14,18,13,11,6,15,10,8,10",0.66,0.86,0.71,0.6509433962264151,0.69,0.6699029126213593,0.6599999999999999,8.02565884590149
0,"15,22,16,12,19,19,4,5,11,0,8,5,20,7,11",0.64,0.89,0.7025,0.6129032258064516,0.76,0.6785714285714286,0.64,12.113780736923218
0,"13,18,15,15,22,12,16,17,16,6,18,19,8,22,5",0.65,0.85,0.7000000000000001,0.6595744680851063,0.62,0.6391752577319587,0.65,15.64552092552185
0,"19,18,17,13,13,18,16,6,13,21,12,9,6,8,5",0.64,0.88,0.7,0.6129032258064516,0.76,0.6785714285714286,0.64,16.97584080696106
0,"13,18,14,16,20,13,14,18,13,11,4,15,10,8,10",0.64,0.87,0.6975,0.6346153846153846,0.66,0.6470588235294118,0.64,7.941054821014404
0,"13,14,15,12,22,12,16,12,16,6,18,19,15,10,2",0.65,0.84,0.6974999999999999,0.6102941176470589,0.83,0.7033898305084746,0.6499999999999999,18.707613945007324
0,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10",0.64,0.86,0.695,0.6346153846153846,0.66,0.6470588235294118,0.64,7.5297887325286865
0,"19,10,17,13,13,18,15,6,19,10,5,11,3,8,5",0.625,0.9,0.69375,0.5925925925925926,0.8,0.6808510638297872,0.625,18.829410314559937
0,"15,15,14,12,19,19,4,5,11,0,8,5,20,7,11",0.64,0.85,0.6925,0.6044776119402985,0.81,0.6923076923076923,0.64,11.002238512039185
0,"19,12,17,13,13,18,15,6,19,5,10,11,3,8,20",0.62,0.9,0.69,0.5845070422535211,0.83,0.6859504132231405,0.62,20.125741004943848
