fitness,encoding
0.67875,"18,6,13,4,20,7,10,18,5,5,13,8,5,8,7"
0.67875,"18,6,13,4,20,7,10,18,5,5,13,8,5,8,7"
0.67875,"18,6,13,4,20,7,10,18,5,5,13,8,5,8,7"
0.67875,"18,6,13,4,20,7,10,18,5,5,13,8,5,8,7"
0.67875,"18,6,13,4,20,7,10,18,5,5,13,8,5,8,7"
0.67875,"18,6,13,4,20,7,10,18,5,5,13,8,5,8,7"
0.67875,"18,6,13,4,20,7,10,18,5,5,13,8,5,8,7"
0.6875,"18,18,14,16,20,13,14,18,5,11,6,15,10,8,10"
0.70625,"18,18,2,10,20,13,14,18,5,11,6,15,10,8,10"
0.70625,"18,18,2,10,20,13,14,18,5,11,6,15,10,8,10"
0.73375,"18,18,6,10,15,13,14,18,13,11,6,12,0,9,10"
0.73375,"18,18,6,10,15,13,14,18,13,11,6,12,0,9,10"
0.7424999999999999,"13,18,14,16,20,13,14,18,13,11,6,15,10,8,10"
0.7424999999999999,"13,18,14,16,20,13,14,18,13,11,6,15,10,8,10"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7"
0.75875,"18,6,13,10,15,16,16,18,13,21,12,8,11,9,7"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7725,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10"
0.7787499999999999,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10"
0.7787499999999999,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10"
0.7787499999999999,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10"
0.7787499999999999,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10"
0.7787499999999999,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10"
0.7787499999999999,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10"
0.7787499999999999,"18,18,6,17,15,13,14,18,13,11,6,12,6,9,10"
