encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"19,12,17,13,13,18,15,6,19,5,10,11,3,8,5",0.68,0.97,0.7525,0.6730769230769231,0.7,0.6862745098039216,0.6799999999999999,1.451521635055542
"19,16,17,13,6,22,15,19,13,5,2,11,3,12,22",0.675,0.97,0.74875,0.6335877862595419,0.83,0.7186147186147186,0.675,1.639477252960205
"19,10,17,13,13,18,15,6,19,10,5,11,3,8,5",0.66,0.98,0.74,0.6379310344827587,0.74,0.6851851851851852,0.6599999999999999,1.327824354171753
"19,12,17,13,13,18,15,6,19,5,10,11,3,6,5",0.675,0.91,0.7337500000000001,0.7058823529411765,0.6,0.6486486486486487,0.675,1.3100130558013916
"19,12,17,13,13,18,15,6,19,5,5,11,3,10,5",0.655,0.96,0.73125,0.628099173553719,0.76,0.6877828054298643,0.655,1.3748817443847656
"19,12,12,15,11,13,18,15,11,6,17,10,12,11,11",0.64,1.0,0.73,0.64,0.64,0.64,0.64,1.2446627616882324
"19,12,17,13,13,18,15,6,19,16,10,11,3,8,5",0.64,0.99,0.7275,0.6111111111111112,0.77,0.6814159292035398,0.64,1.5872588157653809
"19,12,17,13,13,18,15,6,19,5,10,11,3,8,20",0.64,0.99,0.7275,0.6206896551724138,0.72,0.6666666666666666,0.64,1.4064736366271973
"19,15,17,13,6,22,15,19,13,5,2,11,3,12,22",0.645,0.97,0.7262500000000001,0.6435643564356436,0.65,0.6467661691542289,0.645,1.5222995281219482
"19,15,17,13,13,18,16,6,13,21,2,11,11,8,5",0.65,0.95,0.7250000000000001,0.6829268292682927,0.56,0.6153846153846154,0.65,1.5129115581512451
"19,10,17,13,13,18,15,6,13,5,5,11,3,8,5",0.66,0.92,0.7249999999999999,0.686046511627907,0.59,0.6344086021505376,0.6599999999999999,1.2464370727539062
"14,21,14,11,19,8,9,12,19,3,19,6,13,8,16",0.705,0.78,0.7237500000000001,0.6541353383458647,0.87,0.7467811158798283,0.7050000000000001,2.4456539154052734
"19,10,17,13,13,18,15,6,19,10,5,11,3,10,5",0.63,1.0,0.7225,0.625,0.65,0.6372549019607843,0.63,1.2976775169372559
"19,12,17,13,13,18,15,6,19,5,10,11,3,10,5",0.63,0.99,0.72,0.6326530612244898,0.62,0.6262626262626263,0.63,1.3732471466064453
"19,18,17,13,13,18,16,6,13,21,12,9,6,8,5",0.64,0.96,0.72,0.6206896551724138,0.72,0.6666666666666666,0.64,2.4179139137268066
"19,18,17,13,13,18,15,6,19,16,10,11,6,8,5",0.63,0.98,0.7175,0.6203703703703703,0.67,0.6442307692307693,0.63,2.7248737812042236
"19,10,17,13,13,18,15,6,19,5,5,11,3,10,5",0.625,0.99,0.71625,0.6126126126126126,0.68,0.6445497630331753,0.625,1.4549381732940674
"19,12,17,13,6,10,21,11,10,3,10,9,5,13,7",0.655,0.9,0.71625,0.6115107913669064,0.85,0.7112970711297071,0.655,1.205101490020752
"19,16,17,13,13,18,16,6,13,21,12,9,11,8,5",0.62,1.0,0.715,0.62,0.62,0.62,0.62,1.6088874340057373
"19,12,17,13,13,18,15,6,19,5,5,11,3,8,5",0.625,0.98,0.71375,0.5984251968503937,0.76,0.6696035242290749,0.625,1.3831233978271484
"19,10,17,13,13,18,16,6,13,21,2,11,3,8,5",0.655,0.89,0.71375,0.6703296703296703,0.61,0.6387434554973822,0.655,1.340353012084961
"19,18,17,13,13,18,16,11,13,21,12,9,6,8,5",0.655,0.88,0.71125,0.6476190476190476,0.68,0.6634146341463415,0.655,2.4880526065826416
"19,16,17,13,6,10,21,16,10,3,10,9,11,13,7",0.62,0.98,0.71,0.6395348837209303,0.55,0.5913978494623656,0.62,1.4995267391204834
"19,10,17,13,13,18,15,6,19,5,5,11,3,8,5",0.63,0.95,0.71,0.6274509803921569,0.64,0.6336633663366337,0.63,1.342799425125122
"19,12,17,13,13,18,16,6,13,21,2,11,3,8,5",0.635,0.93,0.70875,0.6062992125984252,0.77,0.6784140969162996,0.635,1.2646260261535645
"15,16,16,4,18,18,16,16,13,21,2,11,11,13,5",0.625,0.96,0.70875,0.6373626373626373,0.58,0.6073298429319371,0.625,1.390674352645874
"15,16,17,13,13,18,16,6,13,21,2,11,11,13,5",0.625,0.96,0.70875,0.6582278481012658,0.52,0.5810055865921788,0.625,0.8508696556091309
"19,10,17,13,6,10,21,11,10,3,12,9,5,13,7",0.635,0.93,0.70875,0.5985401459854015,0.82,0.6919831223628692,0.635,1.2202816009521484
"19,16,17,13,13,10,21,6,10,3,10,9,11,13,5",0.635,0.93,0.70875,0.6015037593984962,0.8,0.6866952789699571,0.635,1.5666515827178955
"19,12,17,13,13,18,15,6,19,5,10,11,3,13,5",0.62,0.97,0.7075,0.6395348837209303,0.55,0.5913978494623656,0.62,1.3273823261260986
"0,5,17,18,6,18,9,14,9,15,17,9,17,18,10",0.61,1.0,0.7075,0.6057692307692307,0.63,0.6176470588235294,0.61,1.7002341747283936
"19,12,17,13,13,18,15,6,4,5,10,11,3,8,5",0.625,0.95,0.70625,0.654320987654321,0.53,0.585635359116022,0.625,1.2155985832214355
"19,16,17,13,13,18,15,6,19,5,5,11,6,8,5",0.615,0.98,0.70625,0.6666666666666666,0.46,0.5443786982248521,0.615,1.635864019393921
"19,10,17,13,6,18,15,16,19,5,5,11,3,13,5",0.63,0.93,0.7050000000000001,0.6585365853658537,0.54,0.5934065934065934,0.63,1.3929047584533691
"19,12,17,13,6,10,21,11,10,3,10,14,5,13,7",0.62,0.96,0.705,0.5909090909090909,0.78,0.6724137931034483,0.62,1.3253819942474365
"19,10,17,13,13,18,15,6,19,5,2,11,3,8,5",0.65,0.87,0.705,0.6293103448275862,0.73,0.6759259259259259,0.6499999999999999,1.360196828842163
"19,16,16,22,13,18,16,11,13,21,12,11,6,8,5",0.64,0.9,0.705,0.6272727272727273,0.69,0.6571428571428571,0.6399999999999999,1.6605980396270752
"19,12,17,13,13,18,15,6,13,5,2,11,3,10,5",0.645,0.88,0.70375,0.638095238095238,0.67,0.6536585365853659,0.645,1.2828691005706787
"19,12,17,13,13,18,15,6,19,19,10,11,3,8,5",0.61,0.98,0.7025,0.6195652173913043,0.57,0.59375,0.61,3.0297749042510986
"19,10,17,13,13,18,15,6,19,5,2,11,3,10,5",0.635,0.9,0.70125,0.593103448275862,0.86,0.7020408163265306,0.635,1.3779971599578857
"19,16,17,4,18,18,16,16,13,21,2,11,11,13,5",0.615,0.96,0.7012499999999999,0.6036036036036037,0.67,0.6350710900473934,0.615,2.3400800228118896
"19,16,17,13,13,18,15,11,19,5,5,11,6,8,5",0.605,0.99,0.7012499999999999,0.6019417475728155,0.62,0.6108374384236454,0.605,1.5359165668487549
"19,16,17,13,13,18,15,6,19,5,10,11,3,10,5",0.605,0.99,0.7012499999999999,0.6206896551724138,0.54,0.5775401069518716,0.605,1.5926403999328613
"19,16,17,13,6,18,16,11,13,21,12,9,11,13,5",0.6,1.0,0.7,0.5769230769230769,0.75,0.6521739130434783,0.6,1.5541625022888184
"17,12,17,13,6,10,21,16,10,3,10,9,5,13,7",0.615,0.95,0.69875,0.6385542168674698,0.53,0.5792349726775956,0.615,0.8769898414611816
"19,10,17,13,13,18,16,6,13,21,12,11,11,8,5",0.61,0.96,0.6975,0.5964912280701754,0.68,0.6355140186915887,0.6100000000000001,1.293006181716919
"19,16,17,13,13,18,15,6,19,5,2,11,3,8,20",0.62,0.93,0.6975,0.6153846153846154,0.64,0.6274509803921569,0.62,1.7324817180633545
"19,16,16,13,13,18,16,6,13,21,2,11,11,8,5",0.605,0.97,0.69625,0.5981308411214953,0.64,0.6183574879227053,0.605,1.6111092567443848
"19,15,17,13,6,22,15,19,13,5,4,11,3,12,22",0.605,0.97,0.69625,0.6206896551724138,0.54,0.5775401069518716,0.605,1.550360918045044
"19,12,17,13,6,10,21,11,13,3,10,9,5,13,7",0.63,0.89,0.6950000000000001,0.5878378378378378,0.87,0.7016129032258065,0.63,1.2463207244873047
"19,10,17,22,13,18,16,6,13,21,12,11,11,8,5",0.6,0.98,0.695,0.6020408163265306,0.59,0.5959595959595959,0.6,1.3523399829864502
"19,12,17,13,13,18,15,5,4,5,10,11,3,8,5",0.62,0.92,0.695,0.65,0.52,0.5777777777777777,0.62,1.2371256351470947
"19,12,17,17,13,18,15,6,19,5,5,11,3,10,5",0.605,0.96,0.69375,0.6235294117647059,0.53,0.572972972972973,0.605,1.504749059677124
"19,18,17,13,13,18,16,6,13,21,12,9,6,8,21",0.61,0.94,0.6925000000000001,0.5964912280701754,0.68,0.6355140186915887,0.6100000000000001,2.4741549491882324
"19,16,17,13,13,18,16,6,13,21,12,9,11,8,10",0.59,1.0,0.6925,0.59375,0.57,0.5816326530612245,0.59,1.5662405490875244
"19,12,17,13,13,18,16,6,13,21,2,11,11,8,20",0.68,0.73,0.6925,0.6343283582089553,0.85,0.7264957264957265,0.6799999999999999,1.3257882595062256
"19,10,17,15,13,18,15,6,19,5,2,11,3,8,5",0.615,0.92,0.6912499999999999,0.6017699115044248,0.68,0.6384976525821596,0.615,1.4015183448791504
"19,15,17,13,6,22,15,19,19,5,2,5,3,12,22",0.625,0.89,0.6912499999999999,0.616822429906542,0.66,0.6376811594202898,0.625,3.2184014320373535
"19,10,16,22,13,18,16,6,13,21,12,11,11,8,5",0.59,0.99,0.6900000000000001,0.5803571428571429,0.65,0.6132075471698113,0.5900000000000001,1.270477294921875
"19,16,17,13,13,18,15,6,19,5,18,11,3,8,20",0.59,0.99,0.6900000000000001,0.5833333333333334,0.63,0.6057692307692307,0.5900000000000001,2.690654993057251
"19,10,17,20,13,18,16,6,13,21,2,11,3,8,5",0.62,0.9,0.69,0.6428571428571429,0.54,0.5869565217391305,0.62,1.2519524097442627
"19,16,17,13,13,18,16,6,13,21,2,11,11,8,5",0.61,0.93,0.69,0.6057692307692307,0.63,0.6176470588235294,0.61,1.618394136428833
"15,16,16,4,13,18,16,11,13,21,2,11,11,13,5",0.595,0.97,0.68875,0.5979381443298969,0.58,0.5888324873096447,0.595,0.821181058883667
"19,15,17,13,6,5,4,11,2,17,2,11,5,12,7",0.65,0.8,0.6875,0.6102941176470589,0.83,0.7033898305084746,0.6499999999999999,1.3094885349273682
"19,12,17,13,13,18,15,6,19,5,10,11,3,8,8",0.59,0.98,0.6875,0.5737704918032787,0.7,0.6306306306306306,0.59,1.4067611694335938
"19,16,17,22,13,18,16,11,13,21,12,11,6,8,5",0.6,0.95,0.6875,0.631578947368421,0.48,0.5454545454545454,0.6,1.580543041229248
"5,12,19,17,4,17,11,13,15,13,17,19,8,23,11",0.59,0.98,0.6875,0.618421052631579,0.47,0.5340909090909091,0.59,1.5650358200073242
"15,15,17,4,18,5,4,16,18,17,2,8,5,13,15",0.59,0.98,0.6875,0.6153846153846154,0.48,0.5393258426966292,0.59,1.3192739486694336
"15,15,17,13,6,22,4,11,18,17,1,5,5,8,22",0.615,0.9,0.68625,0.5761589403973509,0.87,0.6932270916334662,0.615,0.9548585414886475
"19,16,17,13,13,18,16,6,13,21,12,11,11,8,5",0.585,0.99,0.68625,0.5702479338842975,0.69,0.6244343891402715,0.585,1.5968577861785889
"19,18,17,13,13,18,15,6,19,5,12,11,3,6,5",0.615,0.9,0.68625,0.6210526315789474,0.59,0.6051282051282051,0.615,2.4761393070220947
"19,12,17,13,6,10,21,16,13,3,10,11,5,13,7",0.59,0.97,0.685,0.5714285714285714,0.72,0.6371681415929203,0.59,1.287578821182251
"19,10,17,19,6,18,16,11,13,21,12,11,11,8,5",0.59,0.97,0.685,0.5803571428571429,0.65,0.6132075471698113,0.5900000000000001,2.7452139854431152
"15,6,3,20,9,22,16,14,11,4,12,18,9,8,9",0.64,0.82,0.685,0.609375,0.78,0.6842105263157895,0.64,0.7949483394622803
"19,10,17,13,13,18,15,11,19,5,5,11,3,8,5",0.63,0.85,0.685,0.5984848484848485,0.79,0.6810344827586207,0.63,1.2167110443115234
"19,10,17,13,6,18,15,11,13,5,5,11,3,13,5",0.585,0.98,0.68375,0.580952380952381,0.61,0.5951219512195122,0.585,1.24666166305542
"19,15,17,13,13,18,16,6,13,21,12,11,11,8,5",0.585,0.98,0.68375,0.6075949367088608,0.48,0.5363128491620112,0.585,1.438727617263794
"16,6,3,22,12,3,16,21,16,10,8,19,4,7,11",0.63,0.84,0.6825000000000001,0.6,0.78,0.6782608695652174,0.63,0.890826940536499
"19,10,17,13,6,22,15,6,13,5,2,11,3,10,22",0.615,0.88,0.68125,0.5877862595419847,0.77,0.6666666666666666,0.615,1.161449670791626
"19,12,17,13,13,18,15,6,21,5,10,11,3,8,5",0.575,1.0,0.6812499999999999,0.5742574257425742,0.58,0.5771144278606966,0.575,1.3039803504943848
"19,16,17,13,6,18,15,16,19,5,5,11,6,8,7",0.575,1.0,0.6812499999999999,0.5652173913043478,0.65,0.6046511627906976,0.575,1.7173309326171875
"19,16,17,13,6,5,20,11,2,19,15,11,5,12,6",0.615,0.88,0.6812499999999999,0.583941605839416,0.8,0.6751054852320675,0.615,1.5120770931243896
"19,12,17,13,13,18,15,6,13,5,10,11,3,10,5",0.59,0.95,0.68,0.5978260869565217,0.55,0.5729166666666666,0.5900000000000001,1.313265323638916
"19,17,13,21,14,3,5,14,12,19,6,17,9,19,12",0.595,0.93,0.67875,0.5772357723577236,0.71,0.6367713004484304,0.595,2.0336062908172607
"19,12,17,19,13,18,15,6,19,5,5,11,3,10,5",0.58,0.97,0.6775,0.6,0.48,0.5333333333333333,0.5800000000000001,1.7593412399291992
"19,12,17,13,13,18,15,6,13,5,5,11,3,8,5",0.58,0.97,0.6775,0.5727272727272728,0.63,0.6,0.5800000000000001,1.3136909008026123
"19,12,17,13,13,18,16,6,13,21,10,11,11,8,5",0.57,1.0,0.6775,0.547945205479452,0.8,0.6504065040650406,0.5700000000000001,1.347517728805542
"19,12,17,13,13,18,15,6,13,5,10,11,11,8,5",0.57,1.0,0.6775,0.5648148148148148,0.61,0.5865384615384616,0.5700000000000001,1.2394556999206543
"17,16,17,13,6,18,16,16,13,21,2,11,11,13,5",0.575,0.98,0.67625,0.5652173913043478,0.65,0.6046511627906976,0.575,0.9856772422790527
"19,12,17,13,13,23,15,6,13,5,2,11,3,10,5",0.605,0.89,0.67625,0.591304347826087,0.68,0.6325581395348837,0.605,1.187608003616333
