models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,1,5,6,7",0.698,0.87,0.7004048582995951,0.692,0.6961770623742455,0.698
"0,1,5,6,9",0.694,0.73,0.70995670995671,0.656,0.681912681912682,0.694
"0,1,5,7,9",0.686,0.87,0.6678700361010831,0.74,0.7020872865275142,0.6859999999999999
"0,1,5,7,8",0.684,0.87,0.6619718309859155,0.752,0.704119850187266,0.6839999999999999
"1,4,5,6,7",0.684,0.87,0.676923076923077,0.704,0.6901960784313725,0.6839999999999999
"0,1,2,5,9",0.682,0.87,0.6654545454545454,0.732,0.6971428571428572,0.6819999999999999
"0,1,4,5,9",0.68,0.87,0.6595744680851063,0.744,0.6992481203007519,0.6799999999999999
"0,2,4,6,9",0.68,0.85,0.6355421686746988,0.844,0.7250859106529209,0.6799999999999999
"0,1,2,5,7",0.678,0.92,0.6529209621993127,0.76,0.7024029574861368,0.6779999999999999
"0,1,3,5,9",0.678,0.91,0.656140350877193,0.748,0.6990654205607477,0.6779999999999999
"0,1,5,6,8",0.678,0.81,0.6816326530612244,0.668,0.6747474747474748,0.6779999999999999
"0,1,5,8,9",0.678,0.77,0.6642066420664207,0.72,0.690978886756238,0.6779999999999999
"0,2,6,7,9",0.678,0.84,0.6344410876132931,0.84,0.7228915662650602,0.6779999999999999
"1,3,5,6,7",0.678,0.9,0.6731517509727627,0.692,0.6824457593688363,0.6779999999999999
"0,1,2,5,6",0.676,0.87,0.6788617886178862,0.668,0.6733870967741935,0.676
"0,1,4,5,6",0.676,0.87,0.6774193548387096,0.672,0.6746987951807228,0.676
"0,1,3,5,7",0.676,0.96,0.6447368421052632,0.784,0.7075812274368231,0.6759999999999999
"1,2,5,6,7",0.676,0.87,0.6833333333333333,0.656,0.6693877551020408,0.6759999999999999
"1,2,5,7,9",0.676,0.84,0.658273381294964,0.732,0.6931818181818182,0.6759999999999999
"1,4,5,7,9",0.676,0.87,0.6560283687943262,0.74,0.6954887218045113,0.6759999999999999
"1,5,6,7,9",0.676,0.77,0.691304347826087,0.636,0.6625,0.6759999999999999
