fitness,encoding
0.6435,"19,5,18,7,21,2,16,4,4,11,4,17,21,2,12"
0.6435,"19,5,18,7,21,2,16,4,4,11,4,17,21,2,12"
0.6435,"19,5,18,7,21,2,16,4,4,11,4,17,21,2,12"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6845000000000001,"6,4,18,5,4,16,12,17,11,23,17,13,18,0,11"
0.6869999999999999,"6,4,18,5,4,16,12,17,13,23,17,13,18,0,11"
0.6869999999999999,"6,4,18,5,4,16,12,17,13,23,17,13,18,0,11"
0.6869999999999999,"6,4,18,5,4,16,12,17,13,23,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
0.7075,"6,4,18,5,4,16,12,17,13,16,17,13,18,0,11"
