encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"5,18,18,0,4,13,12,9,13,6,17,22,8,22,10",0.6,0.98,0.6950000000000001,0.5892857142857143,0.66,0.6226415094339622,0.6000000000000001,1.3205597400665283
"17,16,0,16,4,13,12,9,13,6,13,9,8,22,10",0.592,1.0,0.694,0.5771812080536913,0.688,0.6277372262773723,0.592,0.7553064823150635
"13,18,14,0,18,13,12,4,13,6,17,9,8,22,10",0.59,0.99,0.6900000000000001,0.5757575757575758,0.684,0.6252285191956124,0.5900000000000001,0.7441473007202148
"13,16,14,15,4,13,12,15,13,16,17,9,19,10,10",0.586,0.98,0.6845000000000001,0.5609065155807366,0.792,0.6567164179104478,0.5860000000000001,0.7676758766174316
"17,18,0,0,4,13,12,9,13,6,17,9,8,22,10",0.576,1.0,0.682,0.589622641509434,0.5,0.5411255411255411,0.5760000000000001,0.9287445545196533
"17,16,0,0,4,13,12,4,13,6,17,9,8,22,10",0.576,1.0,0.6819999999999999,0.5766129032258065,0.572,0.5742971887550201,0.576,0.7480216026306152
"5,18,0,16,4,13,12,9,13,6,17,22,8,22,10",0.576,1.0,0.6819999999999999,0.6091954022988506,0.424,0.5,0.576,0.9551246166229248
"17,18,0,0,4,13,12,9,13,6,17,9,8,20,10",0.572,1.0,0.679,0.5681818181818182,0.6,0.5836575875486382,0.5720000000000001,0.885321855545044
"5,18,14,19,4,13,12,9,13,6,17,22,8,22,10",0.572,1.0,0.679,0.5592105263157895,0.68,0.6137184115523465,0.5720000000000001,0.9668960571289062
"13,5,14,19,18,4,9,4,13,0,13,9,11,7,8",0.588,0.95,0.6784999999999999,0.5728476821192053,0.692,0.6268115942028986,0.588,1.6726446151733398
"13,18,14,15,4,13,12,15,13,16,17,9,19,10,10",0.568,1.0,0.676,0.5505952380952381,0.74,0.6313993174061433,0.5680000000000001,0.7568073272705078
"17,18,0,16,4,13,12,9,13,6,17,9,8,22,10",0.568,1.0,0.6759999999999999,0.5988372093023255,0.412,0.4881516587677725,0.568,1.0167796611785889
"13,16,14,15,4,13,12,9,13,16,17,9,8,10,10",0.576,0.97,0.6745000000000001,0.5637583892617449,0.672,0.6131386861313869,0.5760000000000001,0.8447365760803223
"17,16,0,0,4,13,12,4,13,6,17,9,11,7,10",0.568,0.99,0.6735,0.5708333333333333,0.548,0.5591836734693878,0.5680000000000001,0.7261548042297363
"17,16,14,17,4,13,12,15,13,6,17,9,8,10,10",0.564,1.0,0.673,0.5516129032258065,0.684,0.6107142857142858,0.5640000000000001,0.7992775440216064
"13,16,14,0,18,13,12,4,13,6,17,9,8,22,10",0.576,0.96,0.6719999999999999,0.5568862275449101,0.744,0.636986301369863,0.576,0.7613089084625244
"13,16,14,19,18,4,9,4,13,0,13,9,11,7,8",0.568,0.98,0.671,0.5620437956204379,0.616,0.5877862595419847,0.5680000000000001,1.5646061897277832
"13,18,14,0,4,13,12,9,13,6,17,9,8,22,10",0.568,0.98,0.671,0.5841584158415841,0.472,0.5221238938053098,0.5680000000000001,0.7232611179351807
"5,18,18,0,4,13,12,9,13,6,17,9,8,22,10",0.564,0.99,0.6705000000000001,0.5481927710843374,0.728,0.6254295532646048,0.5640000000000001,1.2920172214508057
"17,18,18,0,4,13,12,9,13,6,17,9,8,22,10",0.56,1.0,0.67,0.5669642857142857,0.508,0.5358649789029536,0.56,1.3903918266296387
"13,18,0,19,18,13,12,4,13,6,17,9,8,7,10",0.56,1.0,0.67,0.5493421052631579,0.668,0.6028880866425993,0.56,2.4865665435791016
"17,18,14,0,4,13,12,15,13,6,17,22,8,22,10",0.56,1.0,0.67,0.5652173913043478,0.52,0.5416666666666666,0.56,0.9278664588928223
"17,18,18,0,4,13,12,9,13,6,17,9,8,20,10",0.56,1.0,0.67,0.5635593220338984,0.532,0.5473251028806584,0.56,1.383052110671997
"13,16,14,15,4,13,12,15,13,16,13,9,19,10,10",0.562,0.99,0.669,0.5411140583554377,0.816,0.6507177033492823,0.5619999999999999,0.7865433692932129
"5,18,14,15,4,13,12,9,13,6,17,22,8,22,10",0.558,0.99,0.666,0.5555555555555556,0.58,0.5675146771037182,0.558,0.8824224472045898
"5,18,0,0,4,13,12,9,13,6,17,9,8,22,10",0.556,0.99,0.6645000000000001,0.5864197530864198,0.38,0.46116504854368934,0.556,0.8295252323150635
"13,16,14,15,4,13,12,9,13,6,17,9,8,10,10",0.552,1.0,0.664,0.538235294117647,0.732,0.6203389830508474,0.552,0.7944414615631104
