encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"18,4,14,3,17,15,3,22,13,11,14,17,13,4,15",0.6666666666666666,0.7857142857142857,0.7320099255583126,0.5454545454545454,1.0,0.7058823529411765,0.7222222222222222,0.7724106311798096
"17,0,6,9,17,3,19,4,13,20,8,18,13,22,3",0.6333333333333333,0.8714285714285714,0.7274348635235732,0.5238095238095238,0.9166666666666666,0.6666666666666666,0.6805555555555556,1.0261766910552979
"17,23,14,15,3,17,3,13,14,11,21,5,8,7,10",0.7,0.9,0.7267369727047146,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666667,0.8454620838165283
"18,4,14,3,17,15,3,16,13,11,14,17,13,4,15",0.6,0.9,0.7250827129859387,0.5,1.0,0.6666666666666666,0.6666666666666666,0.7798805236816406
"16,20,14,4,3,6,21,16,18,13,14,23,14,4,10",0.6666666666666666,0.8857142857142857,0.7218775847808105,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.8157145977020264
"17,23,14,3,3,17,3,13,14,11,21,5,8,7,10",0.6666666666666666,0.8714285714285714,0.7170181968569065,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.8328015804290771
"16,20,14,3,3,6,21,16,18,13,14,23,14,4,10",0.6666666666666666,0.8571428571428571,0.7146401985111662,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.767542839050293
"17,23,14,4,3,17,15,13,14,11,21,5,8,16,11",0.6,1.0,0.7083333333333334,0.5,0.6666666666666666,0.5714285714285714,0.6111111111111112,0.7503859996795654
"17,23,14,3,17,6,3,22,13,11,21,5,13,7,10",0.6333333333333333,0.9142857142857143,0.7074545078577337,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6388888888888888,0.7409985065460205
"16,20,14,4,3,6,21,16,18,11,14,23,14,4,10",0.6333333333333333,0.8714285714285714,0.70660153019024,0.5294117647058824,0.75,0.6206896551724138,0.6527777777777778,0.8030030727386475
"16,6,13,18,15,3,4,9,3,14,0,0,17,7,8",0.6666666666666666,0.8428571428571429,0.7026726633581473,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6527777777777778,0.6426937580108643
"18,4,14,3,3,15,3,16,13,11,14,17,13,4,15",0.6333333333333333,0.8428571428571429,0.7018455334987593,0.5294117647058824,0.75,0.6206896551724138,0.6527777777777778,0.7610166072845459
"16,20,14,4,3,6,21,16,18,13,14,23,14,2,10",0.6333333333333333,0.8571428571428571,0.6946339950372208,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6388888888888888,0.7480869293212891
"16,20,14,3,3,6,21,16,18,3,14,23,14,4,10",0.6333333333333333,0.8571428571428571,0.692152605459057,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6388888888888888,0.7598137855529785
"17,23,14,4,3,17,15,13,14,11,21,5,8,20,11",0.6,0.9714285714285714,0.6906792803970224,0.5,0.5833333333333334,0.5384615384615384,0.5972222222222223,0.8116471767425537
"17,23,14,3,3,17,3,13,14,11,21,5,15,7,10",0.6333333333333333,0.9142857142857143,0.6882754342431763,0.5454545454545454,0.5,0.5217391304347826,0.6111111111111112,0.7380344867706299
