,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"19,0,13,16,17,16,6,12,16,7,0,0,16,14,12",0.6333333333333333,0.8571428571428571,0.725056865177833,0.5238095238095238,0.9166666666666666,0.6666666666666666,0.6805555555555556,8.389153718948364
0,"14,10,12,23,0,14,19,17,13,4,16,0,18,18,14",0.6333333333333333,0.6857142857142857,0.6712158808933002,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.6666666666666667,8.332756042480469
0,"17,23,13,6,17,4,4,12,15,11,22,17,15,7,11",0.6333333333333333,0.6714285714285714,0.6655293631100083,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.6666666666666667,4.862182378768921
0,"17,23,13,6,17,4,6,12,14,11,22,17,15,14,11",0.6333333333333333,0.6571428571428571,0.6464536807278742,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6388888888888888,4.916231393814087
0,"17,0,13,17,17,4,4,12,14,11,22,17,15,14,11",0.5666666666666667,0.7428571428571429,0.6423697270471465,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.6111111111111112,4.82571005821228
0,"17,0,13,17,17,4,6,12,14,11,22,17,15,14,11",0.5666666666666667,0.7428571428571429,0.6423697270471465,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.6111111111111112,4.911041736602783
0,"17,23,10,17,4,4,6,12,15,11,12,9,15,3,10",0.6,0.6142857142857143,0.6398107940446651,0.5,0.9166666666666666,0.6470588235294118,0.6527777777777778,4.41961669921875
0,"17,0,13,17,17,4,6,12,14,13,21,17,15,14,11",0.6333333333333333,0.6714285714285714,0.6288254755996692,0.5454545454545454,0.5,0.5217391304347826,0.6111111111111112,4.978513956069946
0,"17,0,13,17,17,4,4,12,14,13,22,17,15,14,11",0.5666666666666667,0.7,0.6269644334160464,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.6111111111111112,4.960200786590576
0,"17,0,13,17,17,4,6,12,14,13,22,17,15,14,11",0.5666666666666667,0.7,0.6269644334160464,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.6111111111111112,4.679004430770874
