models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,2,3,4,6",0.7333333333333333,0.7,0.8,0.5714285714285714,0.6666666666666666,0.7232142857142857
"0,2,3,6,8",0.7333333333333333,0.7,0.875,0.5,0.6363636363636364,0.71875
"0,3,4,5,6",0.7333333333333333,0.7,0.875,0.5,0.6363636363636364,0.71875
"0,3,6,7,8",0.7333333333333333,0.7,1.0,0.42857142857142855,0.6,0.7142857142857143
"2,3,5,6,7",0.7,0.7,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.7053571428571428
"2,3,5,7,8",0.7,0.8,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.7053571428571428
"0,2,5,6,7",0.7,0.6,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7008928571428572
"1,3,5,6,7",0.7,0.7,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7008928571428572
"3,5,6,7,9",0.7,0.6,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7008928571428572
"0,2,5,7,8",0.7,0.7,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6964285714285714
"0,3,5,7,9",0.7,0.7,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6964285714285714
"0,5,6,7,9",0.7,0.6,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6964285714285714
"2,3,4,5,6",0.7,0.6,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6964285714285714
"2,5,6,7,8",0.7,0.7,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6964285714285714
"0,2,3,4,5",0.7,0.7,0.7272727272727273,0.5714285714285714,0.64,0.6919642857142857
"5,6,7,8,9",0.7,0.7,0.7272727272727273,0.5714285714285714,0.64,0.6919642857142857
"0,2,3,5,8",0.7,0.7,0.7777777777777778,0.5,0.6086956521739131,0.6875
"2,3,4,5,8",0.7,0.7,0.7777777777777778,0.5,0.6086956521739131,0.6875
"2,3,4,6,8",0.7,0.7,0.7777777777777778,0.5,0.6086956521739131,0.6875
"0,1,3,4,6",0.7,0.6,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.6830357142857143
"0,3,5,6,8",0.7,0.7,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.6830357142857143
"0,3,5,7,8",0.7,0.7,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.6830357142857143
"0,1,2,5,7",0.6666666666666666,0.7,0.6111111111111112,0.7857142857142857,0.6875,0.6741071428571428
"0,2,3,5,7",0.6666666666666666,0.7,0.6111111111111112,0.7857142857142857,0.6875,0.6741071428571428
"2,4,5,6,7",0.6666666666666666,0.6,0.6111111111111112,0.7857142857142857,0.6875,0.6741071428571428
"0,1,3,5,7",0.6666666666666666,0.8,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6651785714285714
"0,2,6,7,9",0.6666666666666666,0.7,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6651785714285714
"1,2,3,5,6",0.6666666666666666,0.6,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6651785714285714
"2,3,6,7,8",0.6666666666666666,0.8,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6651785714285714
"3,4,5,6,7",0.6666666666666666,0.6,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6651785714285714
