encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11",0.6333333333333333,0.6,0.6354910714285714,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.6473214285714286,0.3760073184967041
"8,22,15,14,9,1,0,1,2,0,16,9,13,8,14",0.6333333333333333,0.6,0.6287946428571429,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.6383928571428572,0.30788731575012207
"0,19,4,16,11,9,11,23,0,8,22,0,14,0,10",0.6333333333333333,0.6,0.6120535714285715,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286,0.4390370845794678
"17,14,0,4,14,5,2,0,16,14,17,4,6,10,9",0.6,0.6,0.6120535714285715,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.6160714285714286,0.30025553703308105
"2,3,4,0,19,4,16,11,9,11,23,0,8,22,0",0.6,0.6,0.6087053571428571,0.55,0.7857142857142857,0.6470588235294118,0.6116071428571428,0.3913259506225586
"17,14,3,4,4,18,8,0,15,20,7,9,8,9,9",0.5,0.9,0.6033482142857143,0.47058823529411764,0.5714285714285714,0.5161290322580645,0.5044642857142857,0.3380415439605713
"14,12,19,6,1,1,13,1,18,8,16,1,18,16,5",0.6,0.6,0.5953125,0.5833333333333334,0.5,0.5384615384615384,0.59375,0.31944942474365234
"1,5,1,3,8,9,4,16,3,9,19,19,17,13,3",0.6333333333333333,0.4,0.5921875,0.56,1.0,0.717948717948718,0.65625,1.040686845779419
"17,14,5,4,4,18,3,0,15,20,8,9,8,20,9",0.6,0.5,0.5904017857142857,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.6205357142857143,0.3316214084625244
"12,3,0,0,14,5,16,20,16,11,17,4,6,10,0",0.5,0.8,0.5883928571428572,0.4782608695652174,0.7857142857142857,0.5945945945945946,0.5178571428571428,0.27982473373413086
"16,15,5,4,6,17,11,4,4,9,3,5,17,9,14",0.5,0.9,0.5832589285714286,0.4,0.14285714285714285,0.21052631578947367,0.4776785714285714,0.288743257522583
"12,3,0,22,14,5,2,20,16,14,17,4,6,10,19",0.6666666666666666,0.4,0.5821428571428571,1.0,0.2857142857142857,0.4444444444444444,0.6428571428571428,0.28841090202331543
"17,5,19,2,15,13,13,21,7,13,0,17,22,1,8",0.5666666666666667,0.6,0.5785714285714285,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.5714285714285714,0.522005558013916
"23,3,5,8,2,7,8,22,14,20,9,21,9,7,2",0.6,0.5,0.5770089285714286,0.5625,0.6428571428571429,0.6,0.6026785714285714,0.2966454029083252
"9,15,15,14,6,1,0,1,2,0,16,5,17,8,14",0.6333333333333333,0.4,0.5754464285714286,0.6,0.6428571428571429,0.6206896551724138,0.6339285714285714,0.2562894821166992
"17,14,3,4,4,18,8,0,15,20,7,9,8,20,9",0.4666666666666667,0.9,0.5698660714285715,0.4166666666666667,0.35714285714285715,0.38461538461538464,0.4598214285714286,0.3430941104888916
"3,6,5,4,4,18,8,7,16,13,8,9,10,9,7",0.5333333333333333,0.6,0.5685267857142857,0.5,0.9285714285714286,0.65,0.5580357142857143,0.35994625091552734
"9,22,15,14,9,1,0,1,2,0,16,9,13,8,14",0.6333333333333333,0.4,0.5620535714285715,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.6160714285714286,0.31043052673339844
