encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"10,23,17,2,6,2,14,15,15,9,16,5,6,4,1",0.6333333333333333,0.7,0.64375,0.6363636363636364,0.5,0.56,0.625,0.2839012145996094
"17,1,18,14,7,2,12,10,2,2,19,11,4,6,1",0.6,0.7,0.6370535714285714,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.6160714285714286,0.36871814727783203
"17,5,18,15,15,13,13,21,7,13,14,17,15,1,18",0.6,0.7,0.6370535714285714,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.6160714285714286,0.4474046230316162
"13,10,23,11,2,2,19,12,15,5,8,4,2,22,4",0.6,0.8,0.6352678571428572,0.6666666666666666,0.2857142857142857,0.4,0.5803571428571428,0.37841057777404785
"14,15,17,2,6,2,13,6,15,13,16,5,6,4,8",0.7,0.4,0.6290178571428571,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.7053571428571428,0.2759997844696045
"0,15,18,16,6,23,14,16,0,19,14,5,17,19,14",0.5666666666666667,0.8,0.621875,0.5384615384615384,0.5,0.5185185185185185,0.5625,0.5567667484283447
"0,5,18,15,15,13,11,16,0,14,14,5,17,19,14",0.5666666666666667,0.7,0.6136160714285714,0.5217391304347826,0.8571428571428571,0.6486486486486487,0.5848214285714286,0.4916205406188965
"17,5,19,2,15,13,13,21,7,13,0,17,22,1,8",0.5666666666666667,0.7,0.610267857142857,0.5238095238095238,0.7857142857142857,0.6285714285714286,0.5803571428571428,0.4855625629425049
"0,11,18,16,5,23,14,16,0,19,14,17,15,19,14",0.5666666666666667,0.8,0.6084821428571427,0.6,0.21428571428571427,0.3157894736842105,0.5446428571428571,0.43404436111450195
"14,14,17,16,6,2,14,6,15,19,16,13,6,4,14",0.5,0.9,0.6066964285714286,0.47368421052631576,0.6428571428571429,0.5454545454545454,0.5089285714285714,0.340435266494751
"14,14,13,10,6,11,2,2,19,12,15,22,6,4,14",0.6333333333333333,0.5,0.6004464285714286,0.6,0.6428571428571429,0.6206896551724138,0.6339285714285714,0.36812901496887207
"11,13,9,8,13,21,14,12,19,6,1,1,13,1,18",0.6333333333333333,0.5,0.5970982142857143,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6294642857142857,0.327603816986084
"16,15,5,4,6,17,11,4,4,9,3,5,17,9,14",0.5666666666666667,0.7,0.596875,0.5384615384615384,0.5,0.5185185185185185,0.5625,0.28885650634765625
"14,14,13,10,6,11,2,2,19,12,15,13,6,4,14",0.5666666666666667,0.7,0.596875,0.5384615384615384,0.5,0.5185185185185185,0.5625,0.3114609718322754
