encoding,test accuracy,training accuracy,test precision,test recall,test fscore,test auc,params
syntax 1,0.5,0.7,0.4666666666666667,0.5,0.4827586206896552,0.5,"{'tol': 1e-05, 'shrinking': False, 'max_iter': 11, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 44, 'coef0': 15.384615384615383, 'cache_size': 300, 'C': 6.846153846153846}"
semantic 1,0.5333333333333333,0.5,0.5,0.07142857142857142,0.125,0.5044642857142857,"{'tol': 1e-06, 'shrinking': True, 'max_iter': 1, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 46, 'coef0': 4.102564102564102, 'cache_size': 300, 'C': 13.179487179487179}"
syntax 2,0.5,0.5,0.4,0.14285714285714285,0.21052631578947367,0.4776785714285714,"{'tol': 1e-05, 'shrinking': True, 'max_iter': 1, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 12, 'coef0': 7.692307692307692, 'cache_size': 400, 'C': 5.384615384615384}"
semantic 2,0.5333333333333333,0.5,0.0,0.0,0.0,0.5,"{'tol': 1e-06, 'shrinking': True, 'max_iter': 1, 'kernel': 'poly', 'gamma': 'auto', 'degree': 19, 'coef0': 6.153846153846153, 'cache_size': 300, 'C': 17.076923076923077}"
syntax 3,0.4666666666666667,0.5,0.4666666666666667,1.0,0.6363636363636364,0.5,"{'tol': 1e-06, 'shrinking': True, 'max_iter': 1, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 46, 'coef0': 16.92307692307692, 'cache_size': 200, 'C': 10.256410256410255}"
semantic 3,0.5333333333333333,0.5,0.0,0.0,0.0,0.5,"{'tol': 1e-05, 'shrinking': False, 'max_iter': 1, 'kernel': 'poly', 'gamma': 'scale', 'degree': 6, 'coef0': 13.333333333333332, 'cache_size': 400, 'C': 7.82051282051282}"
syntax 4,0.4666666666666667,0.5,0.4666666666666667,1.0,0.6363636363636364,0.5,"{'tol': 1e-06, 'shrinking': True, 'max_iter': 31, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 17, 'coef0': 15.897435897435896, 'cache_size': 300, 'C': 9.769230769230768}"
semantic 4,0.5333333333333333,0.5,0.5,0.07142857142857142,0.125,0.5044642857142857,"{'tol': 1e-05, 'shrinking': False, 'max_iter': 1, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 24, 'coef0': 2.564102564102564, 'cache_size': 200, 'C': 3.923076923076923}"
syntax 5,0.5,0.5,0.4,0.14285714285714285,0.21052631578947367,0.4776785714285714,"{'tol': 1e-06, 'shrinking': True, 'max_iter': 1, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 23, 'coef0': 13.333333333333332, 'cache_size': 300, 'C': 4.897435897435898}"
semantic 5,0.4666666666666667,0.5,0.4666666666666667,1.0,0.6363636363636364,0.5,"{'tol': 0.001, 'shrinking': True, 'max_iter': 1, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 15, 'coef0': 18.97435897435897, 'cache_size': 400, 'C': 1.9743589743589745}"
